Альфред Нобель	Он прочёл в газете свой некролог, после чего и премию учредил.
Неудачный спектакль	Произведение Хармса, в котором "Театр закрывается. Нас всех тошнит".
Даниил Хармс	"Театр закрывается. Нас всех тошнит.". ПисательД
вешалка	с НЕЙ танцевал Фред Астер в фильме "Время свинга"
Гарольд Ллойд	наряду с Чарли Чаплином и Бастером Китоном, — один из наиболее популярных и влиятельных киноактёров эпохи немого кино.
Fendi	В 1962 году Карл Лагерфельд становится креативным дизайнером дома и создает знаменитый логотип — две F, одна из которых перевёрнута. Назовите БРЕНД
нижняя челюсть	От Джеймса Кука остался череп без НЕЁ
гуано	разложившиеся естественным образом остатки помёта морских птиц и летучих мышей.
гуано	Значительные залежи ЭТОГО имеются в Южной Америке (Перу, Боливия), Южной Африке (например, остров Ичабо у побережья Намибии), на островах Тихого океана.
райские птицы	ИХ всего 45 видов, 38 из которых встречаются только на Новой Гвинее и мелких прилегающих островах, в Индонезии и Восточной Австралии.
султан	украшение на головном уборе в виде вертикально укрепленного перьевого или волосяного пучка. Был распространён на шляпах, киверах и касках в большинстве европейских армий первой половины XIX века.
Заря	дача Горбачева рядом с посёлком Форос.
Форос	в этом крымском посёлке находилась дача Горбачёва (в частности, во время путча ГКЧП).
кика	древнерусский женский головной убор с рогами, род повойника
Сарынь на кичку!	приказ волжских разбойников собраться команде корабля в передней части судна для беспрепятственного ограбления
пик нефти	Теоретически ОН был предсказан американским геофизиком Кингом Хаббертом, который создал модель известных запасов и предположил в 1956 году, что добыча в материковой части США достигнет пика между 1965 и 1970 годами; и что мировая добыча достигнет пика в 2000 году.
Мэрион Кинг Хабберт	физик из "Шелл", который предложил теорию "пика нефти"
Дональд Кинг	Американский боксёрский промоутер и функционер, особо узнаваем из-за своей необычной причёски и яркой индивидуальности.
Дон Кинг	Организатор боксёрских поединков «Грохот в джунглях» и «Триллер в Маниле».
не бросайте бисера перед свиньями	в оригинальном библейском выражении там был жемчуг
не бросайте жемчуга вашего перед свиньями	Не давайте святыни псам и <...ПРОДОЛЖИТЬ>
бисер	В библейском выражении был жемчуг, а не ОН
Нагорная проповедь	"Не давайте святыни псам и не бросайте жемчуга вашего перед свиньями" -- говорилось в НЕЙ
Алия	репатриация (понимаемая в данном случае как возвращение на историческую родину) евреев в Государство Израиль, а до основания Государства Израиль — в Страну Израиля
диета	... is the only game where you win where you lose - Carl Lagerfeld. По-русски одним словом
Фантазия	в этом мультфильме Микки Маус пожимает руку дирижёру Леопольду Стоковскому.
Гинденбург	ОН сгорел 6 мая 1937 года на авиабазе Лейкхерст в городе Манчестер-Тауншип (Нью-Джерси, США).
Дирижабль "Гинденбург"	На обложке дебютного альбома группы «Led Zeppelin» (1969) помещено ЕГО фото
Дирижабль "Италия"	На НЁМ потерпела катастрофу экспедиция Умберто Нобиле
Умберто Нобиле	итальянский дирижаблестроитель, исследователь Арктики, генерал. В его экспедиции упал дирижабль "Италия".
Мальчик со шпагой	Magnum opus Владислава Крапивина
Владислав Крапивин	Мальчик со шпагой (трилогия романов), писатель
томагавк	инструмент в геометрии для трисекции угла, задачи разбиения угла на три равные части.
трисекция угла	с помощью томагавка в геометрии делают её
Фёдор Ростопчин	Приказ о московском пожаре 1812 мог отдать этот градоначальник (по одной из версий)
Довод	научно-фантастический боевик режиссёра и сценариста Кристофера Нолана, 2020 год. Анаграмма. По-русски.
Дэвид Смит	известный современный человек-ядро
человек-ядро	появившийся в XIX веке и сохранившийся в некоторых местах до современности цирковой номер, когда специально разработанная «пушка» выстреливает человеком.
очки	ОНИ помогают Кларку Кенту оставаться неузнаваемым в обычной жизни.
Шазам	Капита́н Ма́рвел также известен под этим именем. Как ни странно, но это комиксы DC.
Капитан Марвел	ОН был незаконным использованием образа Супермена в DC Comics, из-за чего его переименовали в Шазама.
Хадсон Лоу	английский генерал, губернатор острова Святой Елены в период нахождения там в изгнании низложенного Наполеона Бонапарта.
Сто дней	период французской истории между произошедшим 1 марта 1815 года возвращением к власти во Франции Наполеона I и произошедшим 7 июля 1815 года роспуском правительственной комиссии, которая отвечала за исполнительную власть после второго отречения Наполеона I от власти.
огурец	40-этажный небоскрёб Мэри-Экс в Лондоне, прозвище
Небоскрёб Мэри-Экс	ОН в Лондоне имеет прозвище "огурец"
Василий Кирьяков	По одной из версий, этот генерал-лейтенант -- автор выражения "закидаем шапками"
Олдос Хаксли	Учителем французского языка Джордж Оруэлла был ОН.
Валлетта	столица республики Мальта
суперобложка	отдельная обложка, надеваемая на переплёт или основную обложку. Используется как реклама, элемент внешнего оформления, предохраняет от загрязнений переплёт.
Екатерина Арагонская	первая жена Генриха VIII Тюдора
резус-конфликт	это гуморальный иммунный ответ резус-отрицательной матери на эритроцитарные антигены резус-положительного плода, при котором у матери образуются антирезусные антитела
Фаллопиевы трубы	яйцевод у млекопитающих[2], парный трубчатый орган, соединяющий полость матки с брюшной полостью.
Габриеле Фаллопий	в честь этого итальянского врача и анатома эпохи Возрождения названы маточные трубы
универсальный человек	тот, чьи интеллектуальные способности, интересы и деятельность не ограничены одной областью знаний и единственной областью их применения, а также индивид, добивающийся ощутимых практических результатов по всем направлениям. Примеры: Ломоносов, Да Винчи. Двумя словами.
полимат	"Универсальный человек" одним словом
Труффальдино из Бергамо	советский двухсерийный художественный телефильм, музыкальная комедия режиссёра Владимира Воробьёва, снятая на киностудии «Ленфильм» в 1976 году. Экранизация пьесы Карло Гольдони «Слуга двух господ» (1749), написанной по канонам комедии дель арте.
Карло Гольдони	"Слуга двух господ" , комедия, 1749, автор.
Улан-Батор	самый холодный столичный город на Земле
крыж	часть флага. Например, синяя слева сверху на флаге США. Или флаг британии на флаге Новой Зеландии
13	Столько звёзд было на первом флаге США. По числу британских колоний, которые образовали независимое государство.
04.07.1776	день принятия Декларации независимости США
4 июля	Звёзды на флаг США добавляются в этот день.
Пуэрто-Рико	Эта свободная территория скорее всего войдёт в состав США в качестве 51 штата.
Гадсденовский флаг	исторический флаг США и один из символов либертарианства, представляющий собой жёлтое полотно с нанесённым изображением гремучей змеи, свёрнутой в клубок и готовой нанести удар.
Гадсденовский флаг	Изображение змеи на обложке альбома Metallica взято с НЕГО.
Don't tread on me	Под изображением гремучей змеи на гадсденовским флагом расположена эта надпись.
Бостонское чаепитие	16.12.1773 произошло ОНО
16.12.1773	Дата Бостонского чаепития
Мария Целеста	парусный корабль (бригантина), покинутый экипажем по невыясненной причине и найденный 4 декабря 1872 года в 400 милях от Гибралтара кораблём «Деи Грация» («Dei Gratia», «Божья Слава»). Классический пример корабля-призрака.
корабль-призрак	"Мария Целеста" -- это классический пример ЕГО
Амазонка	корабль "Мария Целеста" сначала назывался так.
Все какают	книжка с картинками японского писателя и дизайнера Таро Гоми, проиллюстрированная им же. Книга вышла в 1977 году, в рамках книжной серии «Сборник научных шедевров». Название по-русски
линчи	"смерть от тысячи порезов" -- казнь в Китае вплоть до начала 20 века.
смерть от тысячи порезов	Линчи -- это ОНА
Деннис Энтони Тито	американский предприниматель и мультимиллионер итальянского происхождения, первый космический турист.
космический турист	В 2001 году Деннис Тито стал первым ИМ
Марокко	Касабланка находится на территории этой страны
муравей	В песне Александра Лаэртского есть х#й, говно и ОН
пуля, пчела, ковровая дорожка	известная триада ответов на блиц в ЧГК, но не та, что про крокодила.
Гробовщик	Первая законченная из "Повестей Белкина"
кольцо рыбака	атрибут облачения римских пап, наряду с тиарой.
обручение с морем	Эта церемония учреждена в Венеции в 1000 году.
малая печать	У скопцов когда отсекают только яички - это ОНА
большая печать	Вторая степень "оскопления" у скопцов.
Леонард Нимой	Этот актёр известен ролью Спока в "Стар треке"
Изгой	Фильм 2000 года с Томом Хэнксом. Сотрудник FedEx терпит авиакатастрофу и выживает на острове.
FedEx	Эта транспортная компания фигурирует в фильме "Изгой" с Томом Хэнксом.
волейбольный мяч	Этот Уилсон стал другом героя Тома Хэнкса на необитаемом острове.
Wilson	волейбольный мяч этой фирмы фигурирует в фильме "Изгой".
Бастер Китон	этот великий актёр и режиссёр был известен как "человек, который никогда не смеётся"
Манн, Иванов и Фербер	Издательство деловой литературы "МИФ" расшифровывается так.
Алохомора	отпирающее заклинание из "Гарри Поттера"
Оскар Рабин	Самый известный организатор "Бульдозерной выставки" 1974 года
Бульдозерная выставка	Оскар Рабин в 1974 году был одним из организаторов ЕЁ
Пирамида Кукулькана	храмовое сооружение, уцелевшее среди руин древнего города майя Чичен-Ица на полуострове Юкатан в Мексике.
Кукулькан	ОН у майя являлся аналогом Кетцалькоатля.
Дерево растёт в Бруклине	Культовый роман Бетти Смит, 1943
Бетти Смит	"Дерево растёт в Бруклине" -- 1943. Автор романа.
осадки в виде фрикаделек	В мультфильме 2009 года "Облачно, возможны ОНИ"
мертвый знак	Типографский крестик также именуют так.
Магическая уборка	Мари Кондо, самая известная книга. Только первые два слова.
Война за испанское наследство	1701-1714 -- крупный европейский конфликт, начавшийся в 1701 году после смерти последнего испанского короля из династии Габсбургов, Карла II.
грегерия	очень короткий художественный текст — одно, иногда два предложения, — напоминающий одновременно афоризм и образное определение; непременными составляющими являются юмор и метафора. Жанр создал Рамон Гомес де ла Серна.
Рамон Гомес де ла Серна	Этот испанский писатель известен своими Грегериями.
Пицца пепперони	По известной байке, заказав ЕЁ на номере 911, ты дашь понять, что рядом преступник.
скво	Изначально это слово означало "женщина", однако с прибытием на индейские земли белых поселенцев оно приобрело негативный оттенок - им называли распутных индианок.
разрешающий сигнал светофора	Изначально в Японии ОН был синим. Тремя словами.
синий	Изначально в Японии разрешающий сигнал светофора был такого цвета.
Чемодан	сборник рассказов Сергея Довлатова про вещи, привезённые при переезде в США.
Пьер Менар	этот писатель в рассказе Борхеса потратил много лет, чтобы воспроизвести несколько глав из романа Сервантеса "Дон Кихот"
Пьер Менар, автор "Дон Кихота"	Известный рассказ Борхеса о писателе, который много лет переводил несколько глав Сервантеса.
Хорхе Луис Борхес	Пьер Менар, автор "Дон Кихота" -- это ЕГО рассказ
Круглое носим, квадратное катаем	Выражение о том, что в армии приказы надо выполнять, а не обсуждать, даже абсурдные.
Метадон	Этот наркотик применяли для лечения зависимости от героина. Но он и сам оказался наркотиком, вызывающим сильнейшее привыкание.
Джек Кеворкян	врач, популяризатор эвтаназии
мерситрон	"Машина самоубийства" от Джека Кеворкяна
Вы не знаете Джека	Фильм 2010 с Аль Пачино про деятельность доктора Кеворкяна
Блэк-Рок	фестиваль "Горящий человек" проходит в этой пустыне.
Невада	фестиваль "Горящий человек" (Burning man) проходит в этом штате США
кнессет	парламент в Израиле
Реставрация Бурбонов	Период в истории Франции с 1815 по 1830 год, после свержения Наполеона Бонапарта.
Рокамболь	главный персонаж цикла авантюрно-уголовных романов XIX века французского писателя Понсона дю Террайя (Понсон дю Террайль, 1829—1871); нарицательное имя для авантюриста.
Тарас Шевченко	ЕГО выкупил Карл Брюллов из крепостничества.
Карл Брюллов	ОН выкупил Тараса Шевченко из крепостничества
Микола Можайский	Николая Чудотворца также называют так, особенно в былинах о Садко.
Садко	ЕГО не звали ни на один пир, он пошёл к Ильмень-озеру и стал играть, в ответ на что его наградил царь морской.
Эдди Ван Хален	Он умер 6 октября 2020 :(
Ильмень-озеро	Садко играл на ЕГО берегу.
царь морской	под водой Садко играл для НЕГО.
Клакёр	профессия человека, который занимается созданием искусственного успеха либо провала артиста или целого спектакля.
Клака	организация собственного суррогатного успеха или провала чужого выступления группой подставных зрителей
Тинто Брасс	Итальянский режиссёр, эротическое кино
феномен клаки	ОН основан на эффекте социального доказательства, суть которого в том, что люди, находящиеся на концерте или в кинотеатре, тем более расположены к аплодисментам, смеху и т. д., чем больше людей вокруг поступают аналогично.
Принц Госплана	в этом романе Пелевина ГГ ассоциирует себя с персонажем игры Prince of Persia
Карл Орф	Кармина Бурана -- это ЕГО кантата
Кармина Бурана	Самое известное произведение Карла Орфа.
Дикий, дикий Запад	научно-фантастический вестерн 1999 года режиссёра Барри Зонненфельда. Фильм был вдохновлён одноимённым телесериалом 1960-х годов. В главных ролях снялись Кевин Клайн и Уилл Смит, последний также записал саундтрек к фильму.
Томас Роберт Мальтус	английский священник и учёный, демограф и экономист, автор теории, согласно которой неконтролируемый рост народонаселения должен был привести к снижению благосостояния и голоду на Земле.
Очерк о законе народонаселения	Наиболее известная книга Томаса Мальтуса
Мальтузианство	Согласно этой теории, население, если его рост ничем не сдерживается, увеличивается в геометрической прогрессии (стремится к удвоению каждые 25 лет), тогда как производство средств существования (сельхозресурсов и прочих) — лишь в арифметической, что неминуемо приведёт к голоду и социальным потрясениям
Илон Маск	ОН планирует колонизовать Луну и Марс
Дэвид Пол Кроненберг	У этого канадского режиссёра есть фильмы "Муха" и "Паук"
52	столько полных недель в году
Иван Лендл	чехословацкий, затем американский профессиональный теннисист, бывшая первая ракетка мира. Спортивное прозвище — «Иван Грозный».
Иван Грозный	Чешский теннисист Лендл имел такое прозвище.
Ивонн Фей Гулагонг-Коули	Первая представительница коренного населения Австралии, добившаяся успехов в теннисе на международной арене.
ЮАР	Кристиан Барнард родился в этой стране
кракелюр	трещина красочного слоя или лака в произведении живописи или любом другом лакокрасочном покрытии (например, на старинных автомобилях).
ауф	ЭТО СЛОВО - это молодежный сленг, который передает большое увлечение чем-то. Примеры применения слова "Сегодня у меня отличное настроение! <...>!"
2 февраля	День сурка отмечается в этот день.
Фил	лесной сурок (лат. Marmota monax) из города Панксатони в Пенсильвании, США, якобы умеющий предсказывать погоду
Панксатони	Сурок Фил живёт в этом городе в штате Пенсильвания.
Седьмая печать	В этом фильме рыцарь играет в шахматы со смертью.
Антониус Блок	Этот рыцарь играл в шахматы со смертью.
Джозеф Кэри Меррик	Он известен как "человек-слон".
Мечтают ли андроиды об электроовцах?	Фильм "Бегущий по лезвию" снят по мотивам этого романа.
Филип Киндред Дик	"Мечтают ли андроиды об электроовцах?", 1968. Автор романа.
Девять миллиардов имён Бога	В этом рассказе Артура Кларка тибетские монахи арендовали ЭВМ, а в конце гаснут звёзды.
Артур Кларк	"Девять миллиардов имён Бога", автор рассказа.
кармин	красный краситель, получаемый из кислоты, производимой самками насекомых кошенили.
Норман Роквелл	"Клепальщица Роузи" -- это тоже ЕГО картина!
Мэри Сью	архетип персонажа, которого автор наделил гипертрофированными, нереалистичными достоинствами, способностями и везением.
Марти Стью	Мэри Сью, но мужского пола
Call of Duty	Мем "Press F to pay respeсts" пришёл из этой игры.
F	Эту клавишу нужно нажать, чтобы отдать честь умершему.
Война всех против всех	понятие социальной философии Томаса Гоббса, описывающее естественное состояние общества до заключения «общественного договора» и образования государства.
Томас Гоббс	"Война всех против всех" -- это ЕГО социальная философия
Луиза Глюк	лауреат НП по литературе за 2020 год
Вероломство образов	Ceci n'est pas une pipe -- эта картина Магритта называется так.
Булыжник - оружие пролетариата	скульптура, выполненная советским скульптором И. Д. Шадром в 1927 году из гипса и в 1947 году отлитая в бронзе. Гипсовая версия хранится в Третьяковской галерее. Сделана под влиянием "Дискобола".
Салазар Слизерин	величайший колдун, один из четырёх основателей Школы чародейства и волшебства «Хогвартс». Увлекался Темной магией и был известен как ярый борец за чистоту крови Волшебного Сообщества.
В честь него назван один из факультетов Хогвартса.
Антонио де Оливейра Салазар	португальский государственный деятель, премьер-министр Португалии в течение 36 лет (1932—1968), главный «архитектор», идеолог и лидер «Нового государства» (порт. Estado Novo). Фактически управлял Португалией с 1932 по 1968 год. Исполнял обязанности президента Португалии с 18 апреля по 21 июля 1951 года.
Антонио де Оливейра Салазар	26 марта 2007 года ОН в результате интерактивного голосования на шоу «Великий португалец» был назван самым великим португальцем в истории страны, обойдя Генриха Мореплавателя и Афонсу I (первого короля и основателя Португалии).
Чарльз Сэмьюэл Аддамс	американский художник-карикатурист. Создатель персонажей Семейки Аддамс.
8	наиболее счастливое число для всех китайцев. Цифрами.
Бальзамы "Золотая звезда"	лекарственные средства, мазь, жидкий бальзам, карандаш для ингаляций, пластырь косметологический охлаждающий, сироп, капли назальные, пластырь, назальный спрей вьетнамского производства с характерным запахом, используемые в лечебных и профилактических целях.
Золотая звезда	Бальзам "Звёздочка" называется на самом деле так.
Высокая золотая звезда	В оригинале вьетнамская мазь называется Cao Sao vàng, что дословно переводится ТАК.
Кто мало видел, много плачет.	Известная цитата из "Собаки на сене" Лопе де Вега.
Иван Кожедуб	советский военачальник, маршал авиации (1985), лётчик-ас. Трижды Герой Советского Союза (1944, 1944, 1945). Депутат Верховного Совета СССР (1946—1961). Народный депутат СССР (1989—1991).
Крылов	Псевдоним Ивана Кожедуба во время боевых действий в составе Группы советских военных специалистов в Корее.
Maus	сверхтяжёлый танк, спроектированный в Третьем рейхе в период с 1942 по 1945 годы под руководством Фердинанда Порше. Прозвище танка латиницей.
Заксенхаузен	Операция «Бернхард» -- в ЭТОМ концлагере делали фальшивые британские фунты.
Операция "Бернхард"	Тайная немецкая операция по массовому изготовлению поддельных банкнот (фунтов стерлингов и долларов США), осуществлявшаяся во время Второй мировой войны.
денежная реформа	ОНА в СССР была проведена 16 декабря - 29 декабря 1947 года.
Кошкин дом	Стихотворная сказка Маршака, 1947 год.
Сергей Прокофьев	Умер в один день со Сталиным.
Петя и волк	симфоническая сказка для детей, написанная Сергеем Сергеевичем Прокофьевым на собственный текст весной 1936 года, вскоре после его возвращения в СССР, по инициативе Наталии Ильиничны Сац для постановки в её Центральном детском театре.
Дети лейтенанта Шмидта	В романе Ильфа и Петрова «Золотой телёнок» упоминаются ОНИ — группа мошенников-самозванцев, кочующих по глубинке и выпрашивающих материальную помощь у местных властей, под имя своего знаменитого «отца».
гроб	В фильме "Убить Билла 2" Ума Турман выбирается из НЕГО.
Театр кошек Куклачёва	ОН находится по адресу Кутузовский просп., 25, Москва, Россия, 121151.
Фёдор Махнов	крестьянин Старосельской волости Витебского уезда Витебской губернии Российской империи (на территории современной Белоруссии). По ряду сведений — самый высокий человек из когда-либо живших на Земле.
Равенала	Это дерево/кустарник является национальным символом Мадагаскара.
Бэмби	немецкая телевизионная и журналистская премия. Русскими буквами.
Хоум-ран	разновидность игровой ситуации в бейсболе, представляющая собой хит, во время которого отбивающий и бегущие, находящиеся на базах, успевают совершить полный круг по базам и попасть в дом (то есть совершить пробежку), при этом не имеется ошибок со стороны защищающейся команды.
Русскими буквами.
Аддис-Абеба	столица Эфиопии.
Юкон	река на северо-западе Канады и в США (штат Аляска), впадает в Берингово море.
Галь Гадот	израильская актриса и модель, наиболее известна по ролям в фильмах «Бэтмен против Супермена: На заре справедливости», «Лига справедливости», «Чудо-женщина», «Шпионы по соседству», а также серии фильмов «Форсаж» (4—6).
Антонис ван Дейк	«Карл I с трёх сторон» или «Тройной портрет Карла I». Художник
Карл I	На знаменитом "Тройном портрете" ван Дейка изображён этот король Англии.
Маха	ОНА у Франсиско Гойи была и обнажённая, и одетая.
Франсиско Гойя	"Маха обнажённая", художник.
Джентрификация	реконструкция (ревитализация) пришедших в упадок городских кварталов путём благоустройства и последующего привлечения более состоятельных жителей
Браззавиль	столица и самый густонаселённый город Республики Конго.
Республика Конго	Браззавиль -- столица этого государства.
Девкалион	в древнегреческой мифологии прародитель людей после потопа, оказавшийся с женой единственными спасшимися. По сути - греческий аналог Ноя.
Девкалион	Греческий аналог Ноя.
Киприда	Классическая Афродита возникла обнажённой из воздушной морской раковины вблизи Кипра — отсюда ЭТО её прозвище
Киприда	Прозвище Афродиты
Афродита	Киприда -- это ЕЁ прозвище
Аид	У римлян -- Плутон, а у греков?
Плутон	У греков -- Аид, а у римлян?
Лесбос	Это остров Греции был местом жизни и творческой деятельности нескольких знаменитых поэтов.
Лесбос	На этом острове оторванная голова Орфея изрекала пророчества.
Персей	Сюжет князя Гвидона (выбросили в бочке в море) вызывает ассоциации с этим древнегреческим героем.
Элевсинские мистерии	обряды инициации в культах богинь плодородия Деметры и Персефоны, которые проводились ежегодно в около Афин в Древней Греции и из всех древнегреческих обрядов считались наиболее важными.
Дельфы	В Древней Греции пуп (или по-гречески "омфал") Земли располагался в этом городе.
Эмпуза	в греческой мифологии мифическое существо, женщина-демон, состоящая в свите Гекаты. напоминающее вампира (упыря). Предстаёт в образе ужасного призрака с ослиными ногами, одна из которых медная.
Эмпуза	Женщина с медной ногой из др.гр. мифологии.
Аполлон и Артемида	Эти близнецы Олимпа были воплощением солнца и луны.
кадуцей	Этот жезл, обвитый змеями, стал знаком примирения между Аполлоном и Гермесом.
кадуцей	Жезл, обвитый двумя змеями. Ещё в Д2 он есть :)
Панакея	в древнегреческой мифологии божество — персонификация исцеления. Дочь Асклепия и Эпионы. Сестра Гигиеи.
Асклепий	Отец Панакеи и Гигиеи (др. гр. миф.)
Гигиея	Дочь Асклепия, сестра Панакеи.
Деметра	в древнегреческой мифологии богиня плодородия, покровительница земледелия. Одна из наиболее почитаемых божеств олимпийского пантеона. Научила людей земледелию.
Грудное молоко Геры	Млечный путь у древних греков -- это ОНО
Виктор	студента Франкенштейна из романа Мэри Шелли зовут именно так.
Тифон	Этот великан вырвал у Зевса сухожилия на руках и ногах и запер в пещере, поставив охранять драконицу Дельфину.
Тифон	Большинство чудовищ древнегреческой мифологии, включая Цербера и лернейскую гидру, представляло собой ЕГО потомство.
Персефона	Её украл и женил на себе Аид.
Персефона	в древнегреческой мифологии богиня плодородия и царства мёртвых, владычица преисподней. Дочь Деметры и Зевса, супруга Аида.
Аид	ОН украл Персефону и заставил вернуться в своё царство.
Антей	великан, сын Посейдона (или Геи, или Посейдона и Геи), получивший необоримую силу от соприкосновения с матерью Геей — землёй. Царь Ливии.
Антей	ЕГО Геракл поднял в воздух, так как знал хитрость, как его победить.
Ламия	Этот персонаж греческой мифологии (или даже собирательное чудовище) пожирала детей.
Титаны	в древнегреческой мифологии божества второго поколения, дети Урана (неба) и Геи (земли).
12	Столько ВСЕГО было титанов (суммарно братьев и сестёр). Цифрами.
Керинейская лань	в древнегреческой мифологии священное животное Артемиды с золотыми рогами и медными копытами.
Керинейская лань	Эту питомицу Артемиды поймал Геракл.
Гиперборея	легендарная северная страна в древнегреческой мифологии[1][2] и наследующей её традиции
Герард Меркатор	ОН на своей карте положил сферу на плоскость (глобус), из-за чего размеры стран получились искажёнными.
атлас	этот термин впервые предложил Герард Меркатор для обозначения набора карт. Он использовал имя греческого титана.
Проекция Меркатора	На Герарда Меркатора должна щёлкать ОНА (для карт).
прокрустово ложе	Это выражение стало крылатым и означает жёсткие границы, в которые желают вогнать что-либо, жертвуя ради этого чем-нибудь существенным.
Южная Дакота	Гора Рашмор находится в этом штате США.
Сакраменто	столица штата Калифорния
АСЕАН	Ассоциация государств Юго-Восточной Азии. Аббревиатура русскими буквами.
НАФТА	Североамериканское соглашение о свободной торговле. Аббревиатура русскими буквами.
Холстомер	повесть Льва Толстого, представляющая собой рассказ мерина о своей жизни.
Жак Картье	бретонский мореплаватель, положивший начало французской колонизации Северной Америки. Совершил три экспедиции к её берегам и стал первым европейцем, описавшим и нанёсшим на карту залив Святого Лаврентия и берега реки Св. Лаврентия и землю, которую он назвал «Страной Канад».
Сент-Огастин	старейший из ныне существующих городов США, административный центр округа Сент-Джонс на атлантическом побережье в северо-восточной части штата Флорида.
Айова	"Кукурузная столица США"
деревня	Слово "канада" на языке индейцев означает ОНА.
Федеральный округ Колумбия	Столица США Вашингтон находится в НЁМ.
Аппалачи	горная система на востоке Северной Америки, в США и Канаде. Длина — 2600 км.
Асуан	около этого Египетского города на Ниле находится известная плотина.
мыс Игольный	южная точка Африки (ВНЕЗАПНО)
польдер	осушенный и возделанный низменный участок побережья. Особенно в Нидерландах.
Гельвеция	персонифицированный символ Швейцарии.
Ютландия	Дания находится на этом полуострове.
Варшавский договор	ОН от 14 мая 1955 года — документ, оформивший создание военного союза европейских социалистических государств при ведущей роли СССР — и закрепивший биполярность мира на 36 лет. Заключение договора явилось ответной мерой на присоединение ФРГ к НАТО.
Нордкин	мыс в Норвегии, самая северная континентальная точка Европы.
харматан	сухой и пыльный западноафриканский пассат. Он дует из внутренних районов африканского континента (из Сахары) по направлению к Гвинейскому заливу в период с конца ноября по начало марта. Температура в это время может опускаться до 3 °C
хор	Согласно Бродскому, в настоящей трагедии гибнет не герой, а ОН.
Сердце тьмы	приключенческая повесть польско-английского писателя Джозефа Конрада, впервые опубликованная отдельной книгой в 1902 году. Повествование ведётся от лица главного героя, моряка Марлоу, который вспоминает своё путешествие в Центральную Африку.
Джозеф Конрад	"Сердце Тьмы", опубл. 1902. Автор.
команда лейтенантов	ОНА выиграла для ЦДКА первый ЧСССР по футболу.
мунинг	оскорбительная демонстрация ягодиц
индийское	У нас "бабье лето", а по-английски и по-французски лето ТАКОЕ.
pogo stick	тренажёр "Кузнечик" в англоязычных странах известен под этим названием.
Кузнечик	Pogo stick - у нас известен под этим названием.
Хулиганы с Грин-Стрит	британско-американский драматический фильм 2005 года. Повествует об американском юноше, волею случая оказавшемся в среде британских футбольных хулиганов.
"Вест Хэм" и "Миллуолл"	"дерби докеров" -- между этими командами
дерби докеров	«Миллуолл» против «Вест Хэма» -- это ОНО
Авессалом	восстал против отца, был разбит, во время бегства запутался длинными волосами в ветвях дерева и был убит.
Уолтер Хартвелл Уайт	главный герой американского телесериала «Во все тяжкие». Его роль исполнил Брайан Крэнстон.
Нюрнбергская хроника	инкунабула 1493 года издания, содержащая иллюстрированную хронику библейской истории от сотворения мира. Написана на латинском языке Харманом Шеделем, издана в переводе на средненемецкий язык Георга Альта, латинское и немецкое издания отличаются друг от друга. Уникальным этот труд делают 1809 ксилографических иллюстраций, органически связанных с текстом. Некоторые сохранившиеся экземпляры раскрашены от руки.
Полу-милорд, полу-купец	Эпиграмма на новороссийского генерал-губернатора гр. Михаила Семёновича Воронцова (1782—1856), в канцелярии которого Пушкин служил в 1823—1824 гг.
Написать первую строчку.
Михаил Воронцов	"Полу-милорд, полу-купец" -- это эпиграмма Пушкина на НЕГО.
Монофизитство	христологическая доктрина в христианстве, постулирующая наличие только одной, единственной Божественной природы (естества) в Иисусе Христе и отвергающая Его подлинное человечество.
Евгений Вельский	незаконченный роман в стихах, анонимно издававшийся в 1828—1832 годах начинающим литератором Михаилом Воскресенским. Представлял собой полупародию-полуподражание роману А. С. Пушкина «Евгений Онегин» и, по-видимому, являлся первой попыткой последователей Пушкина овладеть онегинской строфой.
шлюп "Восток"	парусный военный корабль 1-й русской антарктической кругосветной экспедиции 1819—1821 годов под командованием Ф. Ф. Беллинсгаузена, открывшей Антарктиду.
На гребне волны	ФБР расследует серию дерзких ограблений банков, которые совершает банда, получившая название «экс-президенты», потому что работает в масках бывших президентов США. Назовите фильм.
маски президентов США	В фильме "На гребне волны" ограбления выполнялись в НИХ.
паста	У эскимосов якобы 100 слов для обозначения снега, а у италянцев -- 200 слов для обозначения ЕЁ.
молекулярные ножницы	для редактирования генома используются ОНИ
книжка	Из откровения Иоанна Богослова: И я пошел к Ангелу, и сказал ему: дай мне ЕЁ. Он сказал мне: возьми и съешь ее, она будет горька во чреве твоем.
Enola Gay	имя собственное стратегического бомбардировщика ВВС США Боинг Б-29 «Суперфортресс», сбросившего 6 августа 1945 года атомную бомбу «Малыш» (англ. Little Boy) на японский город Хиросима в конце Второй мировой войны. Английскими буквами.
Пол Тиббетс	бригадный генерал Военно-воздушных сил США. Известен в первую очередь как пилот бомбардировщика «Enola Gay», который сбросил первую атомную бомбу на японский город Хиросима в конце Второй мировой войны.
Красная селедка	улика, ведущая в совершенно неверном направлении. Английская идиома.
красная сельдь	Название происходит от известной охотничьей метафоры английского публициста XIX века Уильяма Коббета: автор писал о том, как гончие псы, охотящиеся на зайцев, могут быть отвлечены от своего занятия запахом ЕЁ, которую незадолго до того несли по следу зайца. Ответ БЕЗ уменьшительного суффикса.
Скунский камень	священная реликвия Шотландии, представляющая собой большой блок песчаника массой 152 кг.
