Эдвард Хоппер	"Полуночники", 1942. Художник.
Атлас	Атлант по-другому
Атлант	Вместо кого Геракл держал небесный свод?
Шахматная новелла	Последнее и одновременно наиболее известное произведение австрийского писателя Стефана Цвейга.
Стефан Цвейг	"Шахматная новелла", (опубликована в 1942), автор
Хлебный мякиш	Из чего, по легенде (а также в рассказе Зощенко), Ленин в заключении делал чернильницы?
Танец с булочками	Знаменитый эпизод Чарли Чаплина в "Золотой лихорадке"?
Ветреная Геба	ТАКАЯ ОНА пролила громокипящий кубок
громокипящий кубок	Легендарное выражение из "Вечерней грозы" ("Люблю грозу в начале мая") Тютчева
Эдвин Эббот	"Флатландия" (1884), автор
золотоискатель	человек, вступающий в брак по расчёту, английское выражение, переведённое на русский
bachelor	"Холостяк" по-английски
Блефуску	Противник Лиллипутии в войне.
остроконечники и тупоконечники	Little-endians и big-endians это ПЕРВЫЕ и ВТОРЫЕ
Шолом-Алейхем	"Тевье-молочник", автор
Тевье-молочник	ОН хочет выгодно отдать замуж своих дочерей, но терпит сплошные неудачи
Дьявольский ветер	Казнь через пушку. Изобетена во время восстания сипаев.
Шевалье д'Эон	считался одним из лучших фехтовальщиков своего времени. Мужчина или женщина.
Отец Браун	герой детективных рассказов Г. К. Честертона, католический священник.
Джорджо Вазари	автор жизнеописаний художников
розовый бутон	Что упомянул перед смертью гражданин Кейн
Терпсихора	муза танца
Портрет доктора Гаше	картина Ван Гога, на которой он изобразил своего лечащего врача
Жан-Этьен Лиотар	"Шоколадница", ок. 1743-45, автор
Шоколадница	Эта картина, по одной из версий, стала свадебным подарком к свадьбе-мезальянсу князя Дитрихштайна с официанткой.
пуантилизм	Жорж Сёра, направление живописи
Воскресный день на острове Гранд-Жатт	Картина Жоржа Сёра. Девушки с зонтиками на берегу. 2 на 3 метра. Пуантилизм.
Жорж-Пьер Сёра	Художник, пуантилизм
Винсент ван Гог	"Звёздная ночь", 1889, автор
Пшеничное поле с воронами	Эта картина считается последней работой Винсента ван Гога. Июнь 1890.
Винсент ван Гог	Светке Соколовой, художник
Игроки в карты	Серия картин Поля Сезанна. В 2012 году семья эмира Катара купила одну из них за 250 миллионов долларов.
Поль Сезанн	"Игроки в карты", серия картин. Автор.
Откуда мы пришли? Кто мы? Куда мы идем?	Великая картина Поля Гогена (1897-1898), которую нужно читать справа налево.
бустрофедон	Способ письма, от греч. "бык" и "поворачиваю". Напоминает движение быка с плугом.
SATOR AREPO TENET OPERA ROTAS	Древний палиндром, помещаемый в квадрат. Можно читать как бустрфедон. «Сеятель Арепо с трудом удерживает колёса» или «Сеятель Арепо управляет плугом (колёсами)».
патерностер	Непрерывно движущийся лифт (как в Вуппертале :)). "Отче наш" с латинского. Сначала так назывались чётки.
Латинский квартал	традиционный студенческий квартал в Париже, вокруг университета Сорбонна.
Бедлам	Психиатрическая больница в Лондоне
Роза Паркс	В 1955 году отказалась уступить место белому в автобусе.
14.07.1789	Дата взятия Бастилии.
Час Земли	Ежегодное мероприятие, когда все в мире должны выключить свет.
Иван Барков	Ему приписывают авторство поэмы "Лука Мудищев".
жена Лота	Превратилась в соляной столп
Кристиан Барнард	3 декабря 1967 года выполнил первую в мире пересадку сердца от человека человеку.
Герман Мелвилл	"Моби Дик", 1851, автор
Жан-Франсуа Шампольон	Расшифровал текст Розеттского камня
Клара Петаччи	Её вместе с Муссолини повесили ногами вверх
фонетический алфавит	А -- Анна, Б -- Борис, В -- Вольтер. Это?
Мэри Куант	Она считается создательницей мини-юбок
Мариэ Кондо	"Магическая уборка. Японское искусство наведения порядка дома и в жизни". Автор
Долорес Ибаррури	"Лучше умереть стоя, чем жить на коленях". Автор цитаты.
Пассионария	Долорес Ибаррури, прозвище (пламенная, страстная).
Долорес Ибаррури	Ей приписывается авторство фразы "No pasaran" ("Они не пройдут")
Долорес Гейз	Лолита, имя и фамилия
Лучше умереть стоя, чем жить на коленях	Долорес Ибаррури, самая известная цитата
Затворник и Шестипалый	Первая повесть Виктора Пелевина. У заглавного героя больше частей тела на руках.
Треугольник Пенроуза	Невозможная фигура с 3 сторонами и 3 углами, оптическая иллюзия, повлияла на Эшера.
Водопад	Знаменитая литография Маурица Эшера, 1961 год. Падающая вода управляет колесом, которое направляет воду на вершину
О капитан! Мой капитан!	стихотворение Уолта Уитмена, написанное в 1865 году на смерть американского президента Авраама Линкольна.
Лоренс Стерн	"Сентиментальное путешествие по Франции и Италии", 1768, автор. Должен щёлкать на "сентиментальность".
светила	Этим словом заканчивается каждая из трех частей "Божественной комедии"
Любовь, что движет солнце и светила	этой строкой заканчивается "Божественная комедия" Данте
Земную жизнь пройдя до половины	Первая строчка "Божественной комедии", 1-я песнь из "Ада".
Intelligence	"Разведка" (военная) по-английски
Тиресий	Слепой прорицатель в Фивах (греч. мифол.). Превратился в женщину и обратно, ударив змей.
Тиресий	Его вызывал Одиссей из Аида
Эсхил	По легенде, ОН погиб в 456 году до н.э., когда орёл сбросил ему на голову не то черепаху, приняв ЕГО лысину за камень, не то камень, приняв его лысину за яйцо.
Генри Мортон Стэнли	Нашёл Дэвида Ливингстона. "Доктор/мистер Ливигстон, я полагаю"?
Доктор Ливингстон, я полагаю?	Крылатая фраза, сказанная Герни Мортоном Стэнли, когда он нашёл Дэвида Л. в Танзании.
Орден рогоносцев	Письмо Пушкину, которое стало поводом для дуэли, было написано от лица ЕГО членов
Крейцерова соната	Это произведение Бетховена посвящено французскому композитору и скрипачу
Крейцерова соната	И произведение Бетховена, и повесть Толстого
Крейцер	Мелкая разменная монета в Австрии, похожа на слово "крест".
Крейцерова соната	Муж убивает жену из-за ревности к скрипачу. Что это за произведение?
Бульвар капуцинок	28 декабря 1895 на этой улице состоялся первый платный киносеанс с фильмами братьев Люмьер
Чарльз Диккенс	"Большие надежды", "Большие ожидания". Кто должен щёлкать?
Эдуард Исповедник	предпоследний англосаксонский король Англии (с 1042 года) и последний представитель Уэссекской династии на английском престоле. Получил прозвище за своё религиозное рвение
Франциск	Первый в истории папа из Нового Света и первый за более чем 1200 лет папа не из Европы. Избран в 2013 году.
В порту	Классическая американская драма Элиа Казана 1954 года о коррупции в профсоюзах портовых грузчиков. Главную роль исполняет Марлон Брандо.
Великий Новгород	Город, где впервые были обнаружены берестяные грамоты средневековой Руси
Капитолийский холм	Этот тёзка римского объекта есть в Вашингтоне
Вселенский собор	Собрания преимущественно епископата христианской Церкви в её вселенской полноте, на которых обсуждаются вопросы и выносятся решения доктринального (догматического), церковно-политического и судебно-дисциплинарного характеров. В единственном числе.
Оклахома-сити	Тимоти Маквей, в каком городе был теракт?
Александр Дюма-отец	Его обвиняли в использовании литературных негров
Огюст Маке	самый известный "литературный негр" Дюма-отца
Жанна Луиза Кальман	старейшая из когда-либо живших на Земле людей, чьи даты рождения и смерти документально подтверждены
Перу и Боливия	Озеро Титикака находится на границе этих государств (сначала короткое название, потом длинное, через "и")
сати	похоронная ритуальная традиция в индуизме, в соответствии с которой вдова подлежит сожжению вместе с её покойным супругом на специально сооружённом погребальном костре.
Ян Палах	16 января 1969 совершил самосожжение на Вацлавской площади в Праге в знак протеста против оккупации Чехословакии войсками Советского Союза и других стран Варшавского договора
Павел Иванович Чичиков	Этого литературного персонажа сравнили с Наполеоном (видимо, по внешности). ФИО.
Ни дня без строчки	книга Юрия Олеши, представляющая собой цикл миниатюрных зарисовок, созданных на биографическом материале. 1965 год.
17 марта	День Святого Патрика, какое число и месяц?
День Святого Патрика	Какой праздник отмечается 17 марта?
Ирландский картофельный голод	Великая катастрофа в Ирландии, в 1845-1849 годы, из-за заражения посевов. 3 словами
Наборщик	Игра, в которой нужно составлять слова из другого слова.
Маргарет Митчелл	роман "Унесенные ветром", автор
негр преклонных годов	Да будь я и ПРОПУСК,
и то, без унынья и лени,
я русский бы выучил только за то,
что им разговаривал Ленин.

Заполнить пропуск в стихотворении Маяковского 3 словами (перевести в именительный падеж)
что им разговаривал Ленин	за что собирался учить русский язык негр преклонных годов (в стихотворении "Нашему юношеству" Владимира Маяковского)?
Скарлетт	роман американской писательницы Александры Рипли, продолжает историю романа Маргарет Митчелл «Унесённый ветром».
Александра Рипли	Кто написал сиквел к "Унесенным ветром" (опубликован в 1991 года)?
Нашему юношеству	Стихотворение Маяковского 1927 года, где "негр преклонных годов".
Крестный ход в Курской губернии	картина Ильи Репина (1880-1883), религиозное шествие
Константин Савицкий	Нарисовал медведей на картине "Утро в сосновом лесу". Имя и фамилия.
сурикат	Тимон из "Тимона и Пумбы" -- какое животное?
Бородавочник	Пумба из "Тимона и Пумбы" -- какое животное (из семейства свиней)?
Акуна матата	в переводе с языка суахили буквально значит «нет проблем»
Тим Райс	Автор либретто рок-оперы «Иисус Христос — суперзвезда» и многих других.
Эвита	Так называли Еву Перон. Так и мюзикл, и фильм про неё называется.
Мадонна	Эта певица сыграла Еву Перон в фильме "Эвита" 1996 года.
Ника Самофракийская	Статуя богини победы. С крыльями, но без головы.
Плот "Медузы"	Картина Теодора Жерико про последствия крушения фрегата. 1819 год.
Плот "Медузы"	На НЁМ после крушения одни ели других или сбрасывали за борт. Для взаимной безопасности последние выбросили оружие в море.
Аргус	многоглазый великан из греческой мифологии
Теодор Жерико	Этот художник был страстным лошадником и часто рисовал лошадей
Дерби в Эпсоме	Знаменитая картина Теодора Жерико, его английский период, скачки.
Не плачь по мне, Аргентина!	Известная фраза Эвы Перон, песня из мюзикла "Эвита".
эпоним	имя собственное, используемое как имя нарицательное для всего класса похожих объектов. (Аспирин, термос, ксерокс, унитаз итд).
Фарерские острова	Их название на местном языке означает "Овечьи острова".
Леониды	метеорный поток с радиантом в созвездии Льва (R. A. = 153°, Decl. = +22°), действующий с 14 по 21 ноября. Знаменит сильными метеорными дождями.
Бурбон	Штат Кентукки знаменит производством этого алкогольного напитка.
Дерби в Кентукки упадочно и порочно	Статья Хантера Томпсона 1970 года, которую принято считать началом гонзо-журналистики
Полковник Сандерс	американский ресторатор, основатель сети ресторанов быстрого питания Kentucky Fried Chicken. Воинское звание плюс фамилия.
38 параллель	По ней проходит линия раздела Кореи
Ким Ки Дук	«Весна, лето, осень, зима... и снова весна», 2003 год, режиссер
Крик Вильгельма	Легендарный звук-сэмпл из фонотеки Warner Brothers, использованный в фильме "Далекие барабаны" (1951), где персонажа кусает и утаскивает под воду аллигатор.
Битва при Гастингсе	ОНА стала решающим моментом в нормандском завоевании Англии. 1066 год.
Вильгельм Бастард	Вильгельм I Завоеватель также известен под этим прозвищем
Вильгельм I Завоеватель	Нормандский герцог, руководил войсками в битве при Гастингсе
Гарольд II Годвинсон	последний англосаксонский король Англии (1066 год), погибший в битве при Гастингсе.
Гобелен из Байё	памятник средневекового искусства, представляющий собой вышивку по льняному полотну шириной около 19 дюймов (48÷53 см) и длиной 231 фут (около 70 м). Изображает сцены подготовки нормандского завоевания Англии и битвы при Гастингсе, создан в конце XI века.
Марк Антоний	возлюбленный Клеопатры
ковёр Клеопатры	В нём египетская царица пробралась к Цезарю
Жираф в огне	Картина Дали (1936-1937), на заднем плане горит главный герой, на переднем -- женщина с ящиками.
Гераклит	"Все течёт, всё меняется". Кому приписывается авторство цитаты?
Гераклит	"Нельзя дважды войти в одну реку". Кто считается автором цитаты?
В поисках утраченного времени	Magnum opus Марселя Пруста, цикл из семи романов.
Если я сделал это	Скандальная книга О. Джей. Симпсона, 2006 год. Рассматривается как признание в убийстве 1994 года.
О. Джей Симпсон	Убийство черным белых людей. Чёрные присяжные оправдывают черного, убившего белого. Кто должен щёлкать?
Juice	Это прозвище получил O. J. Simpson за сходство своих инициалов с аббревиатурой одного напитка.
Лицензия на убийство	Цифры 00 в номере агента в бондиане означали, что агент имеет её. Также фильм про Бонда 1989 года (Тимоти Далтон)
Галапагосские острова	На НИХ Дарвин обнаружил несколько эндемиков, которые повлияли на его теорию происхождения видов.
Бигль	Корабль, на котором совершал плавание Чарльз Дарвин
Галапагосские острова	Этот топоним должен щёлкать на естественный отбор, разную выживаемость видов, вымирание редких видов, много разных видов в одном месте.
маготы	Эти редкие обезьяны живут на Гибралтаре. Единственная обезьяна, живущая в диком виде на территории Европы (в Гибралтаре).
Гибралтарская скала	ОНА в древности была известна как один из Геркулесовых столбов.
Гибралтар	единственное место в Европе, где живут дикие обезьяны (они же единственные ПРИМАТЫ)
Геркулесовы столбы	ОНИ якобы являются частью знака доллара
Гибралтар	Территория, которая часть переходила от Испании к Англии и обратна. Должна щёлкать на смесь этих языков или имён.
Гибралтарский пролив	Геркулесовы столбы обрамляют вход в НЕГО
Абебе Бикила	Он победил в олимпийском марафоне 1960 года (олимпиада в Риме), пробежав дистанцию босиком
геоглифы	Так называются фигуры на плато Наска
Наска	Плато в Перу, где на земле находятся гигантские фигуры-геоглифы, хорошо видные только свысока
Мария Райхе	немецкая исследовательница (археолог), известная изучением геоглифов Наски в Перу, начатым в 1940 году.
Геоглифы Наски	Некоторые из НИХ изображают животных и птиц. На НИХ нужно смотреть свысока, для этого для туристов даже поставли смотровые вышки.
Перу	На территории какой страны находится плато Наска?
Наска	Какое место должно щёлкать на упоминание гигантских животных (паук, кондор итд)?
Антонио Гауди	Он украшал купола своих строений, чтобы ими любовались ангелы.
Антонио Гауди	ЕГО в последние годы многие католики просят канонизировать (беатифицировать). Он может стать покровителем архитекторов.
Антонио Гауди	ОН может стать святым - покровителем архитекторов
Антонио Гауди	ОН был одет как бродяга, поэтому в нормальую больницу его не повезли.
Геспериды	ОНИ были превращены в деревья
Мидас	Ослиными ушами ЕГО "наградил" Аполлон (Дионис)
Мидас	всё, к чему ОН ни прикоснётся, обращалось в чистое блестящее золото
Мидас	ЕГО тайну знал только брадобрей, который не сдержался и поведал тайну ямке, а из неё тайна пошла в тростник, из которого сделали трубочку, которая эту тайну всем и раструбила.
Аокигахара	Лес самоубийц в Японии
Горящий человек	Ежегодный фестиваль, который проходит в пустыне Блэк Рок в США, штат Невада. Там сжигают деревянную скульптуру. Эксперимент в создании сообщества радикального самовыражения — участники ходят в фантастических костюмах и ездят на машинах необычной конструкции.
Двенадцатая ночь	Похожие друг на друга брат и сестра Себастьян и Виола, Виола переодевается в мужчину. Откуда сюжет?
Сатурналии	В эти праздничные дни рабы могут повелевать господами и веселиться вместе с ними, сидеть за одним столом итд.
Хака	ритуальный танец новозеландских маори, во время которого исполнители топают ногами, бьют себя по бёдрам и груди, и выкрикивают аккомпанемент. 
Используется командами Новой Зеландии, особенно по регби
маори	Этот народ исполняет танец хака
Сатурн	Этого бога изображали с косой, а затем с серпом.
Эффект зловещей долины	гипотеза, по которой объект, выглядящий или действующий примерно как человек (но не точно так, как настоящий) (например, робот), вызывает неприязнь и отвращение у людей-наблюдателей.
Бунраку	Японский кукольный театр, куклы достаточно большого размера
Иван Иванович	Советский манекен, очень похожий на человека. Использовался для космических испытаний. Летал на корабле "Восток" незадолго до Гагарина. Летал вместе с собакой Звёздочкой.
Звездочка	Собака с этой кличкой (сначала была Дымка) летала в последнем бесчеловечном полёте (25 марта 1961) перед Гагариным, вместе с манекеном Иваном Ивановичем
Китти Дженовезе	Когда её убивали в течение получаса в 1964 году, 38 свидетелей не предприняли никаких действий (по преувеличенному сообщению прессы)
Эффект свидетеля	"Синдром Дженовезе" ещё называют так
Рудольф Нуриев	В 1961 году (вскоре после полёта Гагарина) он совершил прыжок (через барьер) в аэропорту Парижа и стал невозвращенцем в СССР.
Попугай, говорящий на идиш	художественный фильм 1990 года режиссёра Эфраима Севелы. По повести Эфраима Севелы «Мама».
Сент-Женевьев-де-Буа	"Русское" кладбище в Париже
человек без селезенки	Псевдоним Чехова, 3 слова.
Три сестры	героини этой пьесы 1900 года на протяжении всего действия стремятся уехать в Москву.
Злоумышленник	В этом рассказе Чехова герой откручивал гайки с рельс, чтобы ловить рыбу (гайки в качестве грузил)
золотой костыль	церемониальный последний ОН был вбит 10 мая 1869 года на торжественной церемонии соединения железнодорожных cистем Central Pacific Railroad и Union Pacific Railroad в местечке Promontory, штат Юта в Первую трансконтинентальную железную дорогу США.
бессмертные	так называют членов Французской Академии
кардинал Ришелье	Благодаря ему была основана Французская Академия
40	Столько действующих членов во Французской Академии
Вандомская колонна	Она поставлена в Париже по декрету Наполеона I и заменила статую Людовика 14-го.
Вандомская колонна	Она -- это подражание Траяновой колонне и ЯКОБЫ выполнена из металла сотен пушек, взятых Великой армией у неприятелей, но на самом деле она была сделана из камня и обложена бронзовыми барельефами.
Происхождение мира	Наиболее известная скандальная картина Гюстава Курбе
Орхидеи	Их разведением страстно занимался Ниро Вульф (сыщик из произведения Рекса Стаута)
Ниро Вульф	ОН был фанатом разведения орхидей
пресса	её называют "четвертая власть"
разносклоняемые существительные	бремя, время, вымя, знамя, имя, пламя, племя, семя, стремя, темя. А также путь и дитя. Это всё ОНИ
Имя розы	Действие этого романа происходит в монастыре, завязано на библиотеке и поисках "Поэтики" Аристотеля
Имя розы	в этой книге страницы книг пропитывали ядом
Клепальщица Роузи	картина американского художника и иллюстратора Нормана Роквелла, написанная в 1943 году. Картина внесла вклад в создание «культурной иконы» США, представляющей американских женщин, работавших на предприятиях во время Второй мировой войны, многие из которых производили боеприпасы и военное снаряжение. Эти женщины иногда вступали в совершенно новые сферы работы, занимая традиционные места мужчин, которые ушли на фронт.
We can do it	На этом плакате изображена вовсе не "Клепальщица Роузи" :)
We Can Do It!	американский пропагандистский плакат времён Второй мировой войны, созданный в 1943 году Дж. Говардом Миллером для компании Вестингауз Электрик и предназначен для повышения морального духа рабочих.
Ланселот Озерный	в легендах о короле Артуре и основанных на них рыцарских романах — знаменитейший из рыцарей Круглого стола. Воспитан Девой Озера
Луи, думаю, что это начало прекрасной дружбы	Легендарная последняя фраза из фильма "Касабланка"
Лестница Ламарка	Одна из первых иллюстраций процесса эволюции живых организмов. Животные распределены по ступеням, согласно сложности организации. На последней ступени находится человек.
На подвижной лестнице Ламарка	"... я займу последнюю ступень". Осип Мандельштам. Заполните предыдущую строку.
Пир	диалог Платона, посвященный проблеме любви.
"Пир" Платона	В этом произведении все говорят об Эроте (боге любви)
Афинская школа	Картина Рафаэля Санти, на которой много философов
Школа злословия	Одна из лучших английских "комедий нравов". 1777 год, Ричард Бринсли Шеридан
Ричард Бринсли Шеридан	пьеса "Школа злословия", 1777. Автор
белый дом	Как переводится "Касабланка" с испанского?
Рональд Рейган	Первоначально в "Касабланке" должен был сниматься не Хамфри Богарт, а ОН.
книжка	часть коровьего желудка
Праведник мира	Неевреи, спасавшие евреев в годы нацистской оккупации Европы. В единственном числе, двумя словами.
Яд ва-Шем	израильский национальный мемориал Катастрофы (Холокоста) и Героизма.
Фредерик Огюст Бартольди	Французский скульптор, скульптор Статуи Свободы (а Эйфель лишь спроектировал опору, то есть был архитектором)
палимпсест	в древности так обозначалась рукопись, написанная на пергаменте, уже бывшем в подобном употреблении.
Фьорелло ла Гуардия	Успешный мэр Нью-Йорка в 1934-1945 годах. Предлагал легализовать марихуану. В честь него назван аэропорт Нью-Йорка. Итальянец еврейского происхождения.
Сергей Прокофьев	Этот советский композитор серьёзно увлекался шахматами.
Дыхание Биота	патологический тип дыхания, характеризующийся чередованием равномерных ритмических дыхательных движений и длительных (до полуминуты и более) пауз. Наблюдается при органических поражениях мозга, расстройствах кровообращения, интоксикации, шоке и других тяжёлых состояниях организма, сопровождающейся глубокой гипоксией головного мозга.
Поминки по Финнегану	Это роман закольцован: в последней фразе нет точки, а первая фраза начинается со строчной буквы.
Александр Суворов	"Пуля - дура, штык - молодец". Кто считается автором цитаты?
Наука побеждать	Из какого труда Суворова выражение про пулю и штык?
Александр Суворов	"Держи голову в холоде, живот в голоде, а ноги в тепле." Автор цитаты.
Наука побеждать	книга генералиссимуса российской армии А. В. Суворова, где собраны его мысли и инструкции, относящиеся к военному делу в России.
Тобольск	В этот город был сослан угличский колокол
Парадокс Тесея	"Если все составные части исходного объекта были заменены, остаётся ли объект тем же объектом?" Что это?
Парадокс кучи	"Один человек делает толпу?", "С какого зернышка куча становится кучей?" итд. Что это?
Чупакабра	Козий вампир из популярной городской легенды. Переводится с испанского как "сосущий коз". Согласно легенде, он убивает животных (преимущественно коз) и высасывает у них кровь.
плавильный котел	модель этнического развития, пропагандируемая в американской культуре в XX веке. В соответствии с данной парадигмой, формирование американской национальной идентичности должно было идти по формуле «сплавления», «смешивания» всех народов, при этом предполагалось, как их культурное, так и биологическое смешение.
Огненная Земля	архипелаг на крайнем юге Южной Америки.
плеоназм	Оборот речи, в котором происходит дублирование некоторого элемента смысла. "Масло масляное", "Другой альтернативы нет", "Бесплатный подарок" итд. Но не тавтология.
Марк Витрувий Поллион	"Десять книг об архитектуре", автор
Десять книг об архитектуре	Известный трактат Марка Витрувия. Трактат является единственной сохранившейся античной работой об архитектуре и одной из первых на латыни.
Витрувианский человек	он был создан для определения пропорций (мужского) человеческого тела, как это описано в трактате античного архитектора "Десять книг об архитектуре"
Гремлины	ОНИ известны своей ненавистью к технике
Тотальная война	война, в которой все участвующие страны используют все доступные им ресурсы и методы, чтобы одолеть противника. Это война не армий, а наций. Мобилизация всех ресурсов.
Эрих Людендорф	Название и основные положения концепции тотальной войны обязаны этому немецкому генералу, который изложил её в своей книге в 1935 году.
Уильям Уоллес	О нём снят фильм "Храброе сердце".
Уильям Уоллес	Шотландский борец за независимость. При Эдуарде I. Казнён в 1305 году.
Франсуа Равальяк	убийца короля Франции Генриха IV Наваррского в 1610 году. Его фамилия стала нарицательной для цареубийц.
Эхнатон	Он ввёл культ единого бога Атона (это просто Солнце). Муж Нефертити.
Атон	солнечный диск, божество, зримая форма Ра или Ра-Хорахте. Фараон XVIII династии Эхнатон в своё правление провозгласил его культ.
Сет	в древнеегипетской мифологии бог ярости, песчаных бурь, разрушения, хаоса, войны и смерти
Моа	отряд вымерших бескилевых птиц. Обитали в Новой Зеландии. Без крыльев и даже без их рудиментов. Истреблены маори.
Кофе и сигареты	Фильм Джима Джармуша, состоящий из 11 новелл (черно-белых короткометражек). Любимые актёры, шоумены и музыканты Джима Джармуша, попивая кофе и покуривая сигареты, ведут забавные беседы друг с другом.
Кофе и сигареты	Этот фильм из новелл снимался в течение 16 лет -- с 1986 по 2003.
Джим Джармуш	"Кофе и сигареты", режиссер
Гавайи	Перл-Харбор находится в этом штате США
Саймон говорит	детская игра в англоязычных странах. Ведущий быстро отдаёт приказы от своего имени, остальные участники должны быстро их выполнять.
Облако Оорта	Гипотетическая сферическая область Солнечной системы, служащая источником долгопериодических комет. Названа в честь голландского астрофизика.
Пояс Койпера	ОН открыт в 1992 году. В него входит Плутон. В нём образуются кометы.
Остров Мэн	На нём живут бесхвостые кошки.
трискелион	символ в виде трёх бегущих ног, выходящих из одной точки. В настоящее время является официальным геральдическим символом Сицилии и острова Мэн.
