Эжен Ионеско	Автор пьесы "Стулья" (1952).
Пари Паскаля	ОНО рассматривает вопрос "верить/не верить" с рациональной точки зрения последствий этих действий.
912	СТОЛЬКО фрагментах в "Мыслях" Блеза Паскаля.
Блез Паскаль	"Мысли [о религии и других предметах]" — кто автор собрания записок?
1670	"Мысли" Блеза Паскаля опубликованы в ЭТОМ году.
Космический латте	#fff8e7 — цвет ЕГО.
#FFF8E7	Цвет космического латте в HEX.
тромплёй	разновидность изобразительного искусства, способ изображения и совокупность технических приёмов, «создающих иллюзию невозможного, либо напротив — представление доступного, осязаемого, но на самом деле несуществующего»
обманка	Приём "тромплёй" по-простому называют ТАК.
Пере Боррель дель Казо	Наиболее известное полотно ЭТОГО художника — картина "Бегство от критики", великолепный пример искусства тромплей.
Бегство от критики	Наиболее известная картина художника Пере Боррель дель Казо, где мальчик "выпрыгивает" из рамы картины.
назарейцы	творческое объединение немецких и австрийских художников романтического направления начала XIX века, стремившихся возродить эстетику и художественный стиль мастеров Средневековья и раннего итальянского Возрождения.
Голова Горгоны	У Афины на Аегисе (Эгиде) было изображение ЕЁ.
Усех	древнеегипетское широкое ожерелье-воротник с несколькими рядами бусин и иногда с фигурными изображениями-символами по краям.
Аегис	Эгида, но более греческим словом. В Diablo II тоже такой есть.
DOTA 2	В ЭТОЙ игре игроки спаунятся у сооружения под назвнанием "Фонтан".
Фонтан	В Дота 2 игроки спаунятся у ЭТОГО сооружения.
Песнь о Гайавате	классический памятник американской литературы, эпическая поэма Генри Уодсворта Лонгфелло, основанная на легендах индейцев народа оджибве.
Генри Уодсворт Лонгфелло	Автор «Песни о Гайавате».
1855	"Песнь о Гайавате" опубликована в ЭТОМ году.
Велимир Хлебников	"Бобэоби пелись губы", автор заумного стиха.
Бобэоби пелись губы	Заумный стих Велимира Хлебникова.
Супермен	ОН имеет рентегновское зрение и умеет видеть сквозь стены.
Банальность зла: Эйхман в Иерусалиме	книга, написанная Ханной Арендт, присутствовавшей в качестве корреспондента журнала The New Yorker на суде
Ханна Арендт	"Банальность зла: Эйхман в Иерусалиме", авторка книги.
1963	Книга "Банальность зла" вышла в ЭТОМ году.
Адольф Эйхман	"Банальность зла" написана по мотивам суда над НИМ.
1962	Эйхман был повешен в ЭТОМ году.
операция "Финал"	Операция Моссада по похищению Эйхмана.
Моссад	Адольфа Эйхмана похитила из Аргентины ЭТА организация.
Лотар Герман	немецкий еврей, бывший узник Дахау, в значительной мере поспособствовавший опознанию и захвату Адольфа Эйхмана в Буэнос-Айресе.
слепота	Лотар Герман опознал в Аргентине Эйхмана, несмотря на НЕЁ.
Председатель земного шара	именование, означающее принадлежность, придуманное в 1916 году русским поэтом Велимиром Хлебниковым.
Союз 317	Утопическое «Общество Председателей земного шара» иначе называлось ТАК.
317	"Общество председателей Земного шара" должно было состоять из СТОЛЬКИ членов.
Петр Митурич	Друг Велимира Хлебникова, который написал на его надгробии "Председатель Земного Шара".
Оранжевая альтернатива	антикоммунистическая подпольная группа, а позднее хэппенинговое движение, действовавшая в нескольких городах Польши, главным образом во Вроцлаве, в 1980-х годах.
Вроцлав	Группа "Оранжевая альтернатива" действовала, в первую очередь, в ЭТОМ городе.
Гномы в ПНР	наиболее известная акция польского движения «Оранжевая альтернатива», возглавлявшаяся Вальдемаром Фидрихом (более известным под псевдонимом «Майор»). Состоялась во Вроцлаве 1 июня 1987 года. Название с аббревиатурой.
Краснолюдки на Свидницкой	Акция "Гномы в ПНР" также известна под ЭТИМ названием.
Вальдемар Анджей Фридрих	польский художник, активист контркультуры, писатель. Известен как основатель и лидер протестного движения «Оранжевая альтернатива», действовавшего в Польше в 1980-х годах.
Демонстрация гномов	"Краснолюдки на Свидницкой", но двумя словами.
1987	"Демонстрация гномов" во Вроцлаве прошла в ЭТОМ году.
Вроцлав	ЭТОТ город известен своими гномами.
Саломея	одноактная трагедия Оскара Уайльда. Пьеса написана на французском языке в 1891 году. Переведена на английский и издана в Лондоне в 1894 году.
Иоканаан	В пьесе "Саломея" Оскара Уайлда Иоаана Крестителям зовут ТАК.
"Саломея" Оскара Уайлда	ЭТА Пьеса долгое время находилась под запретом, как в Великобритании, так и в России из-за того, что запрещалось выводить на сцену библейских персонажей.
Оскар Уайлд	"Саломея", кто автор пьесы 1891 года.
Запрет показывать на сцене библейских персонажей.	Запрет на постановку пьесы "Саломея" был связан с ЭТИМ.
французский	На ЭТОМ языке написана пьеса "Саломея" Оскара Уайлда.
Морис Метерлинк	Автор философской пьесы-притчи «Синяя птица»
Синяя птица	Морис Метерлинк наиболее известен ЭТОЙ пьесой-притчей.
25 ноября 1970	В ЭТУ дату Юкио Мисима тщетно устроил попытку госпереворота и в итоге покончил с собой через сэппуку.
Исповедь маски	Из-за схожести сюжета с биографией самого Мисимы ЭТОТ роман принято считать полуавтобиографическим.
Золотой храм	в ЭТОМ романе Мисимы в форме псевдоисповеди предлагается авторская версия истории психически неуравновешенного монаха, который в 1950 году сжёг храм Кинкаку-дзи в Киото.
Общество щита	частная военная организация, основанная писателем и общественным деятелем Японии Юкио Мисимой и существовавшая с 1968 года по 1970.
Мартин Скорсезе	Молчание (2016), режиссёр фильма.
Фуми-э	изображения Иисуса Христа и Девы Марии, использовавшиеся религиозными властями сёгуната Токугава для выявления тайных христиан. Подозреваемому предлагалось наступить на такое изображение, чтобы доказать, что он не является христианином.
Молчание	ЭТОТ фильм рассказывает о жестоком запрете христианства в Японии.
Чарльз "Лаки" Лучано	американский мафиози итальянского происхождения, один из лидеров организованной преступности в США. Не имел гражданства США, в 1946 году депортирован из страны.
чехол Фарадея	ОН блокирует все электрические сигналы и переводит электронное устройство (например, смартфон) в режим "оффлайн".
Пасхалия	Методика расчёта даты Пасхи. Заключается в моделировании практики времяисчисления древних иудеев с целью определения дня ветхозаветной Пасхи в датах солнечного календаря (юлианского, григорианского или александрийского) и нахождения следующего за этим днём воскресенья как дня христианской Пасхи.
Юсы	буквы старославянских азбук, кириллицы и глаголицы, обозначавшие древнеславянские носовые гласные, впоследствии (в X веке) утратившие назализацию в большинстве славянских языков.
Юс малый	ОН (Ѧ ѧ) обозначал носовой гласный [ɛ̃].
Юс большой	ОН (Ѫ, ѫ) обозначал носовой гласный [ɔ̃].
лигатура	знак любой системы письма или фонетической транскрипции, образованный путём соединения двух и более графем, например: дат. , исл. , норв. æ; осет. ӕ; нем. ß
фика	шведская традиция делать перерыв в работе, чтобы выпить кофе. Перерыв такой шведы устраивают каждые два часа, и длится он не более 15 минут.
Швеция	кофе-брейк фика устраивается в ЭТОЙ стране.
Орхан Памук	современный турецкий писатель, сценарист и общественный деятель, лауреат нескольких национальных и международных литературных премий, в том числе Нобелевской премии по литературе (2006).
Орхан Памук	ОН известен своей гражданской позицией в отношении геноцида армян и дискриминации курдов в Турции, не совпадающей с мнением официальных турецких властей.
курды, армяне	Орхан Памук открыто признаёт геноцид ПЕРВЫХ и ВТОРЫХ.
Имя мне — Красный	Одной из главных особенностей ЭТОГО романа является большое количество самых разнообразных повествователей: это и главные герои (Кара, Шекюре), и трое подозреваемых (помимо глав, рассказанных под их именами, есть и главы от лица убийцы, который является одним из них, но повествует именно как убийца, не называя своего имени), и второстепенные герои, а также свойственные «новому роману» неодушевлённые рассказчики, такие как трупы, нарисованная монета
Орхан Памук	"Имя мне — красный" — кто автор романа?
r, n	Хрестоматийный случай плохого кернинга — малое расстояние между ЭТИМИ буквами.
промпт-инъекция	ЭТО — метод атаки на модели машинного обучения, которые используют промт. Путем внедрения злоумышленником ложных промптов или модификации существующих.
Идея заключается в том, чтобы изменить или добавить запросы, которые применяются для обучения модели, таким образом, чтобы вводные данные были искажены и выходные данные не соответствовали им. Это может привести к некорректной обработке данных моделью и, следовательно, к ошибочным результатам.
промпт	текстовый запрос или контекст, который предоставляется чат-боту.
jailbreak	вид атаки на чат-боты, который позволяет злоумышленникам просить от нейросети что угодно. Для ее реализации, как правило, используется специальный prompt, который позволяет обмануть языковую модель и обойти ограничения правил, которым она подчинялась:
промпт-инъекция	атака на современные нейросети, во время которых пользователи могут, например, описать сценку и попросить нейросеь разыграть одну из ролей.
репликанты	существа (андроиды и клоны) из фильмов «Бегущий по лезвию», «Бегущий по лезвию 2049», «Солдат», «Пришелец» и игры «NieR», а также мультсериала "Солнечные противоположности".
Бегущий по лезвию	роботы-репликанты известны по ЭТОМУ фильму.
Человек или репликант?	Основным мотивом фильма "Бегущий по лезвию" является ЭТОТ вопрос.
Мечтают ли андроиды об электроовцах?	Фильм "Бегущий по лезвию" является экранизацией ЭТОГО романа.
пять	СТОЛЬКО платоновых тел в Евклидовом пространстве.
девять	Сколько ОСНОВНЫХ эпизодов "Звездных войн"?
30 июня 1908	Тунгусский метеорит упал в ЭТУ дату.
-- После стольких лет? -- Всегда!	Известная фраза, связанная с Северусом Снейпом и матерью Гарри Поттера Лили.
Лили	ТАК зовут мать Гарри Поттера.
Северус Снейп	"После стольких лет? Всегда!" -- фраза ЭТОГО персонажа Гарри Поттера.
патронус	ГП: магическая сущность, вызываемая заклинанием «Экспекто ...». Служит как защита от Дементоров и Смеркутов.
Путеводный свет	самая продолжительная мыльная опера в мире. Выходила с 1937 по 2009.
Уловка Галилея	ОНА состоит в утверждении, что идея, отвергаемая (а особенно, гонимая) некоторым сообществом, обязательно верна.
Гамбит Галилея	"Уловка Галилея" также называется ТАК.
Эффект Земмельвейса	автоматическое неприятие человеком новых научных фактов, которые противоречат его устойчивому мировоззрению, вере и парадигме.
Любовь, смерть и роботы	Название ЭТОГО сериала представлено в форме эмодзи.
Эмодзи	Название сериала "Любовь, смерть и роботы" представлено в виде ЭТОГО.
Джонни Эпплсид	Эмодзи пластиковой карточки на платформе iOS содержит ЕГО имя и фамилию.
Джонни Эпплсид	ЕГО прозвище происходит от того, что он первым начал сажать яблони на Среднем Западе Америки.
Джонатан Чепмен	Настоящее имя Джонни Эпплсида.
Костер тщеславия	сожжение светских книг («Декамерон», Овидий и др.), музыкальных инструментов, игральных карт и костей, парфюмерных продуктов, богатых нарядов и зеркал, конфискованных у граждан Флоренции по указанию религиозного реформатора Джироламо Савонаролы.
Джироламо Савонарола	ОН приказал жечь "костры тщеславия" на площади во Флоренции.
Сожжение библиотеки в Джафне	ЭТО стало одним из важных событий, приведших к гражданской войне в Шри-Ланке.
Флоренция	"Костры тщеславия" Савонаролы жгли в ЭТОМ городе.
Христо Явашев	американский скульптор и художник болгарского происхождения, прославившийся вместе со своей женой Жанной-Клод де Гийебон своими работами, в которых «упаковывал» различные объекты — от пишущей машинки и автомобиля до здания Рейхстага и целого морского побережья.
упаковывали	Христо Явашев и его жена знамениты перформансами, где они ДЕЛАЛИ ЭТО со всевозможными объектами -- от автомобиля до Рейхстага.
Рейхстаг	В 1995 году Христо Явашев упаковал ЕГО.
Пого	слэм, ассоциирующийся с ранним панк-роком и состоящий в подпрыгиваниях на месте, как правило, с выпрямленной спиной, соединёнными ногами и руками, прижатыми к туловищу.
слэм	Развитием "танца Пого" стал ОН.
Мы не в изгнании, мы — в послании	Фраза Мережковского (или Гиппиус) про эмиграцию.
Дмитрий Мережковский	Фраза "Мы не в изгнании, мы — в послании" приписывается ЕМУ.
органиграмма	ОНА наглядно показывает, как устроена внутренняя структура компании или иной организации. Для обозначения сотрудников и должностей на ней применяются прямоугольные блоки или другие фигуры, которые иногда сопровождаются фотографиями, контактной информацией (например, адресом электронной почты), ссылками на веб-страницы, иконками и иллюстрациями.
Много ли человеку земли нужно?	В ЭТОМ рассказе Льва Толстого отразились впечатления от пребывания писателя у башкир, пересказ скифских преданий у Геродота и увлечение учениями Христа и Будды. Обег степных земель главным героем представлен Толстым как притча — метафора человеческой жизни, уходящей на накопление материальных ценностей в ущерб духовным исканиям.
Лев Толстой	"Много ли человеку земли нужно?" -- кто автор рассказа?
Много ли человеку земли нужно?	В ЭТОМ рассказе крестьянин Пахом бежал целый день наперегонки с Солнцем, чтобы получить много земли, но в итоге и умер.
Серебряная революция	широко распространенный термин, характеризующий демографические процессы в Японии. О том, что население Японии стремительно стареет.
Серебряное поколение	Людей пожилого возраста называют ТАК.
Старый пруд	....
Прыгнула в воду лягушка.
Всплеск в тишине.

Назовите первую строчку классического хайку Басё.
Старый пруд	хайку (трёхстишие) японского поэта Басё. Считается идеальным произведением японской поэзии, вершиной жанра и образцом простоты и безыскусности. Отличается совершенной звуковой гармонией, содержит несколько глубинных слоёв
лягушка	ОНА прыгнула в воду в хайку "Старый пруд".
Мацуо Басё	"Старый пруд", кто автор трёхстишия?
Nena	ЭТА немецкая группа известна песней про "99 воздушных шариков"
99 Luftballons	Известная песня группы Nena.
99 воздушных шариков	ИХ по ошибке приняли за НЛО, из-за чего один генерал отправил на перехват столько же лётчиков-истребителей, «каждый из которых решителен, как капитан Кирк».
Джеймс Тиберий Кирк	персонаж научно-фантастического телевизионного сериала «Звёздный путь: Оригинальный сериал» и его многочисленных продолжений. Адмирал Звёздного флота.
52-герцовый кит	ЕГО называют "самым одиноким в мире".
Песни китов	звуки, издаваемые китообразными для общения.
52	На СТОЛЬКИ Герцах поёт уникальный "самый одинокий в мире" кит.
М	художественный фильм режиссёра Фрица Ланга, созданный в 1931 году; фильм стал первой звуковой картиной Ланга. Классический триллер о маньяке-убийце, предвосхитивший многие стилистические находки фильмов-нуар. Сюжет фильма основан на реальных событиях дела маньяка-убийцы Петера Кюртена из Дюссельдорфа
Фриц Ланг	Фильм "М" про маньяка из Берлина (прототип из Дюссельдорфа) снял ОН.
М	Первая звуковая картина Фрица Ланга.
Петер Кюртен	Прототипом убийцы из фильма "М" стал ЭТОТ серийный убийца из Дюссельдорфа.
Пополь Вух	книга-эпос мезоамериканской культуры, памятник древней индейской литературы. Содержит мифические и исторические предания, а также генеалогические данные о знатных родах киче цивилизации майя времён постклассического периода (современная Гватемала).
Книга совета / Книга народа	"Пополь-Вух" с языка киче переводится ТАК.
киче	Эпос "Пополь-Вух" написан на ЭТОМ языке майяской группы.
Гроб в четыре пенни	термин времён Викторианской эпохи, описывающий одни из первых приютов для бездомных (ночлежки), которые были созданы для жителей центрального Лондона. В конце XIX − начале XX веков такие приюты использовалась Армией спасения для помощи нуждающимся гражданам Англии.
приюты / ночлежки для бездомных	Под прозвищем "гроб в четыре пенни" в Викторианской Англии были известны ОНИ.
четыре пенни	И только за СТОЛЬКО ИХ клиенту ночлежки позволяли лечь на спину и спать в специальном деревянном ящике, наподобие гроба.
Армия спасения	международная христианская и благотворительная организация, фактически ставшая протестантской деноминацией. Она была основана как христианская миссия в 1865 году в Англии методистским проповедником Уильямом Бутом и его женой Екатериной для проповеди бедным и обездоленным
Шесть шагов до Кевина Бэйкона	игра, участники которой должны не более чем за 6 переходов найти связь между загаданным актёром и Кевином Бейконом через актёров, вместе с которыми они снимались. Игра основана на теориях тесного мира и шести рукопожатий
Число Бэйкона	ОНО является аналогом числа Эрдёша для киноиндустрии, оно показывает связь актёра с исходным известным актёром.
Число Эрдёша -- Бэйкона	шуточная характеристика научной и творческой активности учёных и актёров. Является суммой двух других характеристик.
Кевин Бэйкон	До ЭТОГО актёра считают актёрский аналог числа Эрдёша.
Поправка Джексона -- Вэника	поправка 1974 года к Закону о торговле США, ограничивающая торговлю со странами, препятствующими эмиграции, а также нарушающими другие права человека.
Снежный ком	В этой (детской) игре представляется сначала ведущий, потом второй игрок называет его, третий игрок называется имена 1 и 2 игроков и так далее.
Снежный ком	ЭТА игра заканчивается, когда последний в кругу человек запомнит имена всех присутствующих.
Славное тридцатилетие	термин, введенный Жаном Фурастье в 1979 году по аналогии с «Тремя славными днями» 27—29 июля Июльской революции 1830 года для обозначения периода с 1946 по 1975 годы, когда в развитых капиталистических странах (главным образом членах Организации экономического сотрудничества и развития) произошли столь значительные экономические и социальные изменения, что в западноевропейских странах и Японии, с сорокалетним отставанием от США, сформировалось общество потребления (во Франции уровень жизни стал одним из самых высоких в мире).
Красный май	События весны 1968 года во Франции.
1968	"Красный май" во Франции произошёл в ЭТОМ году.
Хилиазм	богословское понятие (теория), представления в рамках христианской эсхатологии о «периоде торжества правды Божьей на земле», в котором Иисус Христос и христиане будут править миром на протяжении тысячи лет.
эсхатология	раздел богословия, религиозное учение о конечной судьбе человека и всего сущего за пределами истории и нынешнего мира — в «вечности».
пипидастр	помпон для чирлидинга
пипидастр	метелка для смахивания пыли
полипропилен	буквы PP в слове "пипидастр" означают ЭТОТ материал.
Рон Джонс	ОН провёл психологический эксперимент "Третья волна".
Третья волна	психологический эксперимент, проведённый учителем истории Роном Джонсом над учащимися 10-го класса (то есть детям было примерно 16 лет) американской средней школы. В начале апреля 1967 года Джонс потратил неделю занятий одного из классов школы Пало-Альто на попытку осмыслить поведение немецкого народа при репрессивном национал-социализме.
Джейн Эллиотт	американская школьная учительница, получившая известность как активистка в области феминизма, антирасизма и прав ЛГБТ. Она разработала известное упражнение «Голубоглазые/кареглазые», которое впервые провела с учениками третьего класса 5 апреля 1968 года, на следующий день после убийства Мартина Лютера Кинга.
Голубоглазые и кареглазые	В эксперименте Джейн Эллиотт для объяснения дискриминации меньшинства класс школьников был разделён на ПЕРВЫХ и ВТОРЫХ.
Эффект Розенталя	психологический феномен, заключающийся в том, что ожидания личностью реализации пророчества во многом определяют характер её действий и интерпретацию реакций окружающих, что и провоцирует самоосуществление пророчества.
Эффект Голема	психологический феномен, при котором более низкие ожидания, возлагаемые на отдельных лиц, либо руководителями, либо самим индивидуумом, ведут к ухудшению показателей индивидуума. Наиболее часто данный эффект был зарегистрирован в образовательной или рабочей среде.
Ванхуны	блогеры-инфлюэнсеры в Китайской Народной Республике.
Негативное пространство	ОНО в дизайне — это часть плоскости вокруг линий и между ними.
Несмотря на то что ОНО формально ничем не занято, оно визуально работает как компонент дизайна.
Негативное пространство	В старом логотипе "Формулы-1" единица была изображена с помощью ЭТОГО приёма.
Эдвард Дринкер Коп и Отниел Чарльз Марш	ОНИ соперничали в "Костяных войнах" 19 века.
Костяные войны	ОНИ также известные как «Великая гонка за динозаврами» (англ. Great Dinosaur Rush), — понятие, относящееся к периоду интенсивной спекуляции ископаемыми и палеонтологических открытий в течение позолоченного века в американской истории, отмеченное горячим соперничеством между Эдвардом Копом и Отниелом Чарлзом Маршем.
Великая гонка за динозаврами	"Костяные войны" между Копом и Маршем тажке известны под ЭТИМ названием.
Закон Копа	правило, постулирующее, что в ходе эволюционного развития видов размеры особей имеют тенденцию к увеличению.
Правило Фостера	ОНО, также известное как правило острова или эффект острова, является экогеографическим правилом в эволюционной биологии, утверждающим, что члены вида становятся меньше или больше в зависимости от ресурсов, доступных в окружающей среде. Например, известно, что карликовые мамонты произошли от обычных мамонтов на небольших островах.
Карта Т и О	В центр ТАКОЙ карты, как правило, помещались Святая земля и Иерусалим — «пуп Земли» (ombilicum mundi) и арена величайших событий мировой истории, описанных в Библии.
Orbis terrae	тип средневековой карты мира, на которой обитаемый мир изображён в виде колеса, согласно учениям Исидора Севильского и Беата из Льебаны. Он разделяется на три части — Европа, Африка и Азия, причём последняя приблизительно равна по величине двум другим. Европу от Африки отделяет Средиземное море, Африку от Азии — Красное море либо река Нил, Европу от Азии — Эгейское море, Босфор либо реки Тигр и Евфрат.
Сыновья Ноя	Карты в виде Т и О отражают ветхозаветную традицию о трёхчастном делении мира между НИМИ.
Сим, Хам, Иафет	Имена сыновей Ноя.
Жорж Милославский	Короткометражный фильм "Черные перчатки" Гайдая концентрируется на судьбе ЭТОГО героя.
Черные перчатки	Короткометражка Гайдая про Жоржа Милославского из "Ивана Васильевича".
компания-единорог	компания-стартап, получившая рыночную оценку стоимости в размере свыше 1 миллиарда долларов США.
1955	Первый Диснейленд был открыт в ЭТОМ году.
Анахайм	Первый Диснейленд был открыт 17 июля 1955 года в ЭТОМ городе в Калифорнии.
Рак легких	Уолт Дисней умер от ЭТОГО.
Пароходик Вилли	самый ранний из сохранившихся звуковых мультфильмов. Первый звуковой фильм студии Диснея и третий мультфильм с участием Микки Мауса.
Безумный самолет	мультфильм студии Уолта Диснея 1928 года выпуска, в котором впервые на экране появляется персонаж по имени Микки Маус.
1927	Первый звуковой фильм "Певец джаза" вышел в ЭТОМ году.
Наф-наф	ОН построил надежный каменный дом, в отличие от своих братьев.
Кто боится большого плохого волка? (Who's Afraid of the Big Bad Wolf?)	название пьесы "Кто боится Вирджинии Вулф" восходит к ЭТОЙ песне из "Трех поросят" Диснея.
Смоляное Чучелко	Чем сильнее Братец Кролик бьёт ЕГО, тем сильнее прилипает к нему, оказываясь тем самым в ловушке.
Братец Кролик	ОН бил Смоляное Чучелко, тем самым прилипая к нему.
Tar-Baby (Смоляное Чучелко)	В современном английском языке ЭТОТ термин используется для обозначения проблемной ситуации, которая лишь усугубляется, если ты её не бросаешь.
Только не бросай меня в терновый куст!	Чтобы спастись от Братца Лиса после ловушки со Смоляным Чучелком, Братец Кролик прибег к ЭТОЙ просьбе.
Соломенный бычок	Дед, заманив ИМ лису, волка и медведя к себе в погреб, выторговал у них кур, уток, баранов и улей с медом в обмен на их жизни. (сюжет украинской и русской народной сказки).
У каждой женщины, если она собирается писать, должны быть средства и своя комната.	Известный афоризм из эссе "Своя комната".
Вирджиния Вулф	Кто авторка эссе "Своя комната"?
Группа Блумсбери	элитарная группа английских интеллектуалов, писателей и художников, выпускников Кембриджа, объединённых сложными семейными, дружескими, творческими отношениями. Туда, в частности, входила Вирджиния Вулф.
Группа Блумсбери	Взгляды участников ЕЁ, влиятельных в 1910 — 1930-х годах и переживших в 1960-е годы своего рода второе рождение, противостояли викторианскому ханжеству, они отстаивали принципы художественного поиска, независимость в жизни и в искусстве. Члены группы демонстрировали приверженность дружбе, общению, искусству.
Мистификация на "Дредноуте"	спланированная мистификация-розыгрыш, устроенная британским аристократом и поэтом Горацио де Виром Коулом в 1910 году. Коул обманул Королевский военно-морской флот Великобритании, устроив посещение его флагманского корабля якобы делегацией абиссинской королевской семьи, роли членов которой на самом деле исполняли он и его друзья. Мистификация привлекла к себе большое внимание общественности и военных в Великобритании, продемонстрировав лёгкость, с которой немецкие агенты могут проникнуть на британские корабли.
репа	Плевальщики на Руси сеяли ЕЁ.
плевальщики	ОНИ на Руси специфическим образом сеяли репу и другие растения.
