Капский полуостров	Столовая Гора находится на НЁМ.
Лествица	ЭТО сочинение состоит из 30 глав представляющих собой «ступени» добродетелей, по которым христианин должен восходить на пути к духовному совершенству.
Гоголь	"Лестницу, поскорее давайте лестницу!" — сказал ОН перед смертью.
Иоанн Лествичник	Богословский труд "Лествица" написал ОН.
Джон Эверетт Милле	Картину "Мыльные пузыри" с мальчиком и мыльными пузырями написал ОН.
мыло Pears	Картина "Мыльные пузыри" Милле долгие коды использовалась для рекламы ЭТОГО.
Джон Эверетт Милле	ЭТОТ прерафаэлит знаменит своими изображениями детей.
Уильям Милбурн Джеймс	На картине "Мыльные пузыри" изображён ОН.
Bubbles (Пузыри)	Уильям Милбурн Джеймс, прозвище
Карпатия	ОНА приняла сигнал помощи с Титаника и пришла на помощь.
Масабуми Хосоно	Японский железнодорожный служащий, пассажир второго класса, спасшийся во время крушения «Титаника». На родине в Японии он подвергся остракизму за то, что спас себя, а не остался на тонущем корабле.
Спасся с "Титаника".	Масабуми Хосоно был подвергнут остракизму в Японии за то, что СДЕЛАЛ ЭТО.
Баскская пелота	Игра с мячом, национальный баскский вид спорта.
Баски	В пелоту играют ОНИ.
Джеронимо	ЭТО кричат американские десантники при высадке.
Американские десантники/парашютисты	ОНИ кричат "Джеронимо!"
Шифровальщики навахо	ОНИ во время Второй мировой работали в американской армии радистами.
Чокто	Во Вторую Мировую американцы шифровали через навахо, а в Первую Мировую через НИХ.
Меж двух разбойников	выражение, описывающее характер смерти Иисуса Христа, крест которого, согласно сообщениям Евангелий, был воздвигнут между распятиями преступников Дисмаса и Гестаса.
Меж двух разбойников	В переносном значении — человек, оказавшийся в позорящей его ситуации (компании), но при этом сохраняющий свои добрые качества, например, несправедливо осуждённый в тюрьму. Назовите идиому.
Дисмас	Раскаявшийся преступник, висевший рядом с Христом.
Гестас	НЕраскаявшийся преступник, висевший рядом с Христом.
Безумный разбойник	Гестас известен как ОН.
Благоразумный разбойник	Дисмас изввестен как ОН.
Дисмас	ОН был распят по правую руку от Иисуса.
Гестас	ОН был распят по левую руку от Иисуса.
Нистагм	непроизвольные колебательные движения глаз высокой частоты (до нескольких сотен в минуту).
Саккады	Быстрые, строго согласованные движения глаз, происходящие одновременно и в одном направлении.
Сандзару	Устойчивая композиция из трёх обезьяньих фигур, закрывающих лапами глаза, уши и рот. Одним словом по-японски.
Мидзару	ЭТА обезьяна не видит.
Кикадзару	ЭТА обезьяна не слышит.
Ивадзару	ЭТА обезьяна не говорит.
Не совершать зла	Иногда в композицию из 3 обезьян добавляется четвёртая, которая символизирует ЭТОТ принцип.
Сидзару	ЭТА четвёртая обезьяна "не совершает зла".
Косин	Считается, что именно в среде ЭТОГО верования сложился символ трёх обезьян.
Бенджамин Спок	американский педиатр, автор книги «Ребёнок и уход за ним», изданной в 1946 году и ставшей одним из крупнейших бестселлеров в истории США.
Ребёнок и уход за ним	Бестселлер по педиатрии от Бенджамина Спока.
Бенджамин Спок	ОН часто ассоциируется в вопросах с героем "Стар трека".

#стандартные-ходы
Now and Then	Последняя песня Битлз, вышла в ноябре 2023 года.
Семь	СТОЛЬКО ворот было в стеен греческих Фив.
Семивратные	Греческие Фивы для отличия от египетских назывались ТАКИМИ.
Стовратные	Египетские Фивы для отличия от греческих назывались ТАКИМИ.
Николай Иванович Гнедич	Русский поэт, наиболее известный как переводчик на русский язык «Илиады».

#фио
Перевод "Илиады" на русский	Николай Гнедич наиболее известен ЭТИМ.
Над схваткой	Сборник антивоенных статей Ромена Роллана.
Ромен Роллан	Автор сборника антивоенных статей "Над схваткой".
Ромен Роллан	Лауреат Нобелевской премии по литературе (1915): «За высокий идеализм литературных произведений, за сочувствие и любовь к истине».
Огонь. Дневник отряда.	Роман Анри Барбюса, основанный на его опыте на фронте во время Первой мировой войны, впервые опубликованный в 1916 году; одно из первых крупных произведений о Первой мировой войне в художественной литературе.

Назовите ПОЛНОЕ НАЗВАНИЕ романа.
Огонь	Анри Барбюс стал известен благодаря ЭТОМУ антивоенному роману. 

Назовите КРАТКОЕ НАЗВАНИЕ романа.
Анри Барбюс	"Огонь" (1916). Кто автор романа?
Нежность	Рассказ Анри Барбюса, герой которого получает в течение двадцати лет пять писем от своей любимой, жениться на которой ему не разрешили родители.
Анри Барбюс	"Нежность", кто автор рассказа?
Сталин — это Ленин сегодня	Известная цитата Анри Барбюса про советских вождей.
Анри Волохонский	ОН написал текст песни "Город золотой".
Орландо	Самый большой Диснейленд (Disney World) находится около ЭТОГО американского города.
Disney World	самый большой по площади и самый посещаемый центр развлечений в мире, покрывающий площадь примерно в 100 км².
Монровия	ЭТА африканская столица названа в честь американского президента.
Либерия	Столица ЭТОЙ африканской страны названа в честь американского президента Джеймса Монро.
Джеймс Монро	При НЁМ было начато переселение освобождённых рабов в Африку.
Доктрина Монро	Декларация принципов внешней политики США («Америка для американцев»), провозглашённая 2 декабря 1823 года в ежегодном послании президента США к Конгрессу США.
Благодарные деревни / Благословенные деревни	населённые пункты в Англии и Уэльсе, все жители которых вернулись домой с Первой мировой войны.
Англия и Уэльс	"Благодарные / благословленные деревни" находятся в ЭТИХ странах.
Дважды благодарными	Четырнадцать английских и валлийских деревень считаются ТАКИМИ, так как не потеряли своих жителей и во время Второй мировой войны.
вуй	устар. праславянское — дядя по матери, брат матери
Филипп Киндред Дик	"Человек в высоком замке" — кто автор романа?
Человек в высоком замке	Научно-фантастический роман американского писателя-фантаста Филипа К. Дика, опубликованный в октябре 1962 года издательством Putnam. Принадлежит к жанру альтернативной истории.
И наестся саранча	Некоторые герои «Человека в высоком замке» читают ЭТОТ популярный роман. Получается "роман внутри романа".
Ночь свастики	Футуристическая антиутопия, написанная английской писательницей Кэтрин Бурдекин и опубликованная ею под псевдонимом «Мюррей Константайн» в 1937 году в издательстве Виктора Голланца.
Кэтрин Бёрдекин	"Ночь свастики" — кто автор этой антиутопии?
Книга Перемен	Наиболее ранний из китайских философских текстов. Наиболее ранний слой, традиционно датируемый ок. 700 г. до. н. э. и предназначавшийся для гадания, состоит из 64 гексаграмм. Во II веке до н. э. был принят конфуцианской традицией как один из канонов конфуцианского Пятикнижия.

Назовите русский перевод названия.
64 гексаграммы	"Книга Перемен" (И Цзин) состоит из СТОЛЬКИ ИХ.
Фатерланд	Роман-триллер английского писателя Роберта Харриса. Действие романа происходит в 1964 году альтернативной истории после победы нацистской Германии во Второй мировой войне.
Роберт Харрис	"Фатерланд" (1992) — кто автор романа?
Операция "Оверлорд"	стратегическая операция союзников по высадке войск в Нормандии (Франция), начавшаяся рано утром 6 июня 1944 года и закончившаяся 25 августа 1944 года, после чего союзники пересекли реку Сену, освободили Париж и продолжили наступление к французско-германской границе. 

Два слова на одну букву.

#сноб #2сноб
Шринкфляция	Снижение производителем количества, объёма или веса товара в упаковке при сохранении или непропорционально малом снижении отпускной цены.
Вага	в театре кукол: приспособление для управления куклой-марионеткой.
Шотландия	У ЭТОЙ страны нет официального гимна.
The Corries	Народным гимном Шотландии можно считать песню ЭТОЙ группы.
Flower of Scotland	Именно ЭТА песня играется в качестве гимна, когда на поле выходят сборные Шотландии по регби и футболу.
Гвиневра	супруга легендарного короля Артура. Один из первых и эталонных образов Прекрасной Дамы в средневековой куртуазной литературе.
Тамара Лемпицка	"Автопортрет в зелёном Бугатти" — назовите художницу.
Автопортрет в зелёном Бугатти	Знаменитая картина Тамары Лемпицка (1925).
Петроглифы	ТАК называют все изображения на камне древнейших времён, с палеолита вплоть до Средневековья, за исключением тех, в которых достоверно присутствует хорошо разработанная система письменных знаков.
Петрос	Камень по-гречески.
Ругон-Маккары	Собирательное название цикла из 20 романов французского писателя Эмиля Золя. Этот роман-река считается вершиной французского натурализма.
Ругон-Маккары	И "Жерминаль", и "Человек-зверь" входят в ЭТОТ цикл.
Эмиль Золя	"Ругон Маккары" — кто автор цикла романов?
20	СТОЛЬКО романов в цикле Золя "Ругон-Маккары".
Золинген	Музей подделок находится в ЭТОМ немецком городе.
Музей подделок	В Золингене находится знаменитый ОН (где всё парами — оригинал и копия)
Шесть персонажей в поисках автора	Самая известная пьеса Луиджи Пиранделло.
Луиджи Пиранделло	"Шесть персонажей в поисках автора" — кто автор пьесы?
Березов	Александр Меншиков после краткого периода абсолютной власти был отправлен в ссылку в ЭТОТ город.
Меншиков в Берёзове	ЭТУ картину Суриков написал под впечатлением своей семьи в холодной избе.
Василий Суриков	"Меншиков в Берёзове" — кто автор картины?
Аппиева дорога	Самая значимая из античных общественных римских дорог.
От Рима до Бриндизи	Позднее Аппиева дорога была продлена и её маршрут был ТАКИМ.
От Рима до Капуи	Изначально маршрут Аппиевой дороги был ТАКИМ.
Сенна	Брюссель стоит на ЭТОЙ реке.
Брюссель	ЭТА столица стоит на реке Сенна.
Заключили в трубу	С рекой Сенной в Брюсселе при модернизации СДЕЛАЛИ ЭТО.
Этьен де Силуэт	В связи с чрезмерной экономией / скаредностью контурные черные портреты прозвали в честь НЕГО.
Китайские тени	Силуэтоподобные вырезанные контуры в Европе называли ТАК.
Рука мертвеца	комбинация карт в покере, состоящая из тузов и восьмёрок чёрных мастей (пиковой и трефовой).
Два туза и две восьмёрки чёрных мастей	Комбинация "Рука мертвеца" состоит из ЭТИХ карт.
Рука мертвеца	Во многих вестернах ОНА как своего рода указание свыше выпадает персонажу до его гибели.
Дикий Билл Хикок	"Руку мертвеца" в руках держал ОН, когда его застрелили.
Феллах	крестьянин в странах Ближнего Востока и Северной Африки. Во времена распространения ислама этот термин использовался, чтобы отличать арабских завоевателей, обычно кочевников (бедуинов), от местных деревенских жителей.
"Гиена" Николая Гумилева	Слово "феллахи" употреблено в ЭТОМ знаменитом стихотворении.
Швейцария	Белоусова и Протопопов эмигрировали в ЭТУ страну.
Сальхов	Один из трёх рёберных прыжков в фигурном катании (наряду с риттбергером и акселем). Назван по имени шведского фигуриста.
Людмила Белоусова и Олег Протопопов	ЭТИ олимпийские чемпионы по парному фигурному катанию в 1979 попросили убежища в Швейцарии.
Марк Лициний Красс	ЭТОТ полководец сумел разгромить восставшую армию Спартака.
Капуя	В ЭТОМ городе началось восстание Спартака.
Римская матрона	в Древнем Риме почётное название свободнорождённой замужней женщины, пользующейся хорошей репутацией и принадлежащей к высшему сословию.
Флоренс Оуэнс Томпсон	гражданка США, получившая широкую известность после её фотографии, сделанной в 1936 году, во время Великой депрессии, фотографом Доротеей Ланж, и ставшей одним из символов Великой Депрессии в массовой культуре.
Великая Депрессия	Фотография Флоренс Оуэнс Томпсон является символом ЭТОГО.
Мать-переселенка	Флоренс Оуэнс Томпсон изображена на ЭТОЙ знаменитой фотографии.
Доротея Ланж	ЭТА фотографка сделала знаменитую фотографию "Мать-переселенка".
Марк Клавдий Марцелл	Осадой Сиракуз (где применялись машины Архимеда) со стороны римского флота руководил ОН.
Теорема Эрроу	теорема «о невозможности демократии» как «коллективного выбора», иначе называют «теоремой о неизбежности диктатора».
Неизбежность диктатора	Теорема Эрроу предполагает ЕЁ.
Копенгагенская интерпретация	Толкование квантовой механики, которое сформулировали Нильс Бор и Вернер Гейзенберг во время совместной работы около 1927 года.
Нильс Бор и Вернер Гейзенберг	Копенгагенскую интерпретацию сформулировали ОНИ.
Многомировая интерпретация	интерпретация квантовой механики, которая предполагает существование, в некотором смысле, «параллельных вселенных», в каждой из которых действуют одни и те же законы природы и которым свойственны одни и те же мировые постоянные, но которые находятся в различных состояниях.
Копенгагенскую интерпретацию квантовой механики	"Я убежден, что бог не играет в кости!" — ЧТО критиковал Эйнштейн?
Хью Эверетт III	Многомировую интерпретацию квантовой механики исходно предложил ОН.
Клайв Стейплз Льюис	Цикл про "Хроники Нарнии" написал ОН.
Инклинги	Толкин и Льюис были основным ядром ЭТОЙ оксфордской литературной группы.
Толкин и Льюис	ОНИ были главными в группе "Инклинги" в Оксфорде.
Тувалу	ЭТО государство известно продажей своей доменной зоны канадскому бизнесмену.
Исландии	В ЭТОЙ стране почти нет фамилий, а используются отчество/матчество.
Текноним	разновидность личного имени, которая присваивается родителю по имени ребёнка. По принципу наименования противоположен патрониму, передаваемому от отца, и матрониму, передаваемому от матери.
Киберпонедельник	понедельник, наступающий после Чёрной пятницы,
Черная пятница	Киберпонедельник наступает через три дня после НЕЁ.
Нулевой номер	седьмой и последний роман Умберто Эко.
Умберто Эко	"Нулевой номер" — кто автор романа?
МАССОЛИТ	вымышленное объединение литераторов, фигурирующее в романе Михаила Булгакова «Мастер и Маргарита».
Мастер и Маргарита	Вымышленное объединение МАССОЛИТ фигурирует в ЭТОМ романе.
Соломон Сполдинг	Американский проповедник, предполагаемый автор так называемой «Найденной рукописи» (Manuscript Story, или Manuscript Found) — фантастического сочинения об утерянной цивилизации «строителей курганов» в Северной Америке.
Строители курганов	общий термин, относится в самом широком смысле к индейцам — обитателям США до прихода европейцев, сооружавшим различного рода земляные сооружения для погребений, жилья или ритуальных целей.
Найденная рукопись	Соломон Сполдинг якобы написал не "Книгу Мормонов", а ЕЁ.
Джозеф Смит	американский религиозный лидер, первый пророк Церкви Иисуса Христа Святых последних дней. Когда ему было 24 года, он опубликовал «Книгу Мормона».
Церковь Иисуса Христа Святых последних дней	религиозная организация реставрационистского происхождения, наиболее крупная ветвь мормонизма. Основана Джозефом Смитом.
Завтра будет новый день	Легендарная цитата из "Унесённых ветром". Даже сам роман сначала Митчелл хотела назвать так.
Унесенные ветром	"Завтра будет новый день" — цитата из ЭТОГО романа.
Скарлетт О'Хара	"Завтра будет новый день!" — говорила себе ОНА.
Завтра будет другой день!	Финал фильма "Унесенные ветром": — Я подумаю об этом завтра, ...
Великая паровозная гонка	военный рейд, осуществлённый в субботу 12 апреля 1862 года в северной Джорджии в период Гражданской войны.
Генерал	В "Великой паровозной гонке" 1862 года паровоз назывался ТАК.
Джеймс Эндрюс	Под ЕГО руководством угнали паровоз "Генерал" и устроили "Великую паровозную гонку".
Медаль Почёта	высшая военная награда США.
Кейнсианский конкурс красоты	В НЁМ награждаются не самые популярные участники конкурса, а те судьи, которые наиболее точно смогли угадать, кто из участников конкурса окажется наиболее популярным.
Колебания цен на фондовых рынках	Концепция "Кейнсианский конкурс красоты" используется для объяснения ЭТОГО.
Экфрасис	описание произведения изобразительного искусства или архитектуры в литературном тексте.
Охотники на снегу	ЭТА картина неоднократно служила вдохновением для режиссёров. Например, Андрей Тарковский использовал образ картины в своих кинофильмах «Солярис» и «Зеркало», а Ларс фон Триер в фильме «Меланхолия».
Питер Брейгель Старший	"Охотники на снегу" — кто автор картины?
У Оленя	На картине "Охотники на снегу" гостиница называется ТАК.
Охотники на снегу	На этой картине главные герои на переднем плане добыли лишь лису, а в долине все развлекаются зимними играми.
Джеймс Уистлер	«Аранжировка в сером и чёрном, № 1: портрет матери» — кто художник?
Искусство ради искусства	концепция, подчеркивающая автономную ценность искусства и рассматривающая озабоченность моралью, пользой, реализмом и дидактикой как не имеющую отношения и даже вредную для художественных качеств произведения.

#концепции
Аранжировка в сером и чёрном, № 1: портрет матери	Картина "Мать Уистлера" на самое деле называется ТАК.
Изящное искусство создавать себе врагов	Книга художника Джеймса Уистлера, изданная в 1890 году. Эта книга была частично ответом на знаменитый судебный процесс с критиком Джоном Рёскиным.
Ноктюрн в чёрном и золотом. Падающая ракета	Суд между Джоном Рёскиным и Джеймсом Уистлером шёл из-за ЭТОЙ картины.
Аристофан	«Облака» — это ЕГО комедия.
Сократ	Главный отрицательный персонаж комедии «Облака» Аристофана.
Облака	Из-за последствий постановки ЭТОЙ ПЬЕСЫ Аристофан неоднократно (c древних времён до конца XVIII века) обвинялся критиками в злонамеренном очернении Сократа.
Аристофан	"Облака" — это ЕГО комедия.
История глаза	Книга Жоржа Батая, написанная в 1928 году, которая, как психоаналитическая работа, рассказывает о всё более странных сексуальных извращениях пары подростков-любовников.
Жорж Батай	"История глаза" (1928) — кто автор книги?
Катарина Витт	Именно ЕЁ журнал Time назвал "самым красивым лицом социализма".
Самое красивое лицо социализма	Фигуристку из ГДР Катарину Витт журнал Time назвал ИМЕННО ТАК.
Катарина Витт и Соня Хени	Эти две фигуристки смогли защитить свои титулы в женском одиночном катании на Олимпиадах.
Мерилин Монро и Катарина Витт	Этим двум женщинам были посвящены первые два sold out выпуска Playboy.
Аттика	Это общее название носят тюрьма в штате Нью-Йорк, известная одним из самых значительных бунтов в защите прав заключенных, и историческая область в Греции.
Тюремный бунт в «Аттике» 1971 года	Этому событию посвящена песня Джона Леннона Attica State.
Нантский эдикт	Это закон, даровавший французским протестантам-гугенотам вероисповедные права и завершивший тридцатилетний период Религиозных войн во Франции.
Великий век	Именно этот период французской истории начался, после подписания Генрихом IV Бурбоном Нантского эдикта в 1598 году.
Гугеноты	Это название французских протестантов-кальвинистов происходит от eyguenot (aguynos) - "собрат, союзник", обозначавшего члена женевского протестантского союза против герцога Савойского.
Генрих IV Бурбон	С этим французским монархом связаны такие эпизоды истории как брак с Маргаритой Валуа, последующая Варфоломеевская ночь, "Париж стоит мессы" и Нантский эдикт.
"Пища богов"	Этот роман 1904 года, написанный Гербертом Уэллсом, рассказывает об открытии "гормона роста" и последующей борьбе гигантов и обычных людей.
Соматотропин	Это научное название гормона роста. Аналогу такого вещества посвящен роман Уэллса "Пища богов".
Помидор	Этот овощ получил свое название в русском языке от итальянского выражения "золотое яблоко".
Помидор	Этот овощ в Китае называли "иностранный баклажан".
Томат	Это съедобное растение после появления в Европе использовалось в Италии в XVI веке в качестве декоративного.
Love apple	Под этим названием в Британии в XVIII веке был известен помидор.
Телемах, сын Одиссея	Именно ему устроили засаду женихи Пенелопы, не желавшие его возвращения в родной дом.
Евмей	Так звали свинопаса, который помог Одиссею и его сыну Телемаху одолеть женихов Пенелопы.
Телемах	По разным версиям, среди его жен были Поликаста, Навсикая, Кирка, Кассифона.
Углеродный шовинизм (Carbon chauvinism)	Именно так пренебрежительно называется теория универсальности водно-углеродной жизни, предложенная Карлом Саганом в 1973 году.
Карл Саган	Именно он является автором термина "углеродный шовинизм", объясняя свой скепсис тем, что человеческим существам может быть сложно вообразить принципиально иную биохимию.
Фиаско	Так "провально" переводится с итальянского слово "бутылка".
Арлекин	Доминик Бьянконелли, невольный создатель выражения "потерпеть фиаско", известен, в первую очередь, как исполнитель этой роли в итальянской комедии дель арте.
Фаренгейт (1626 г.), Цельсий (1701 г.), лорд Кельвин (1824 г.)	Расположите в порядке года рождения ученых, в чью честь названы температурные шкалы: Цельсий, лорд Кельвин, Фаренгейт.
Швед	Андерс Цельсий, в чью честь была названа температурная шкала, по национальности был им.
Рак Каркин (по другой версии - краб)	Гера послала именно это создание, чтобы отвлечь Геракла, пытавшегося убить Лернейскую гидру.
Cancer (Рак)	По легенде, это зодиакальное созвездие названо в честь одного из участников битвы Геракла с Лернейской гидрой.
Мария-Антуанетта	В ее честь назван синдром, при котором человек седеет за одну ночь. И бриоши ту ни при чем.
Поседение за одну ночь	Именно это произошло с Марией-Антуанеттой накануне ее казни в 1793 году.
Синий	Можно сказать, что любовь к этому цвету объединяет польского режиссера Кшиштофа Кеслёвского и французского художника Ива Кляйна.
Ив Кляйн	В его честь назван один из самых известных оттенков синего цвета, передаваемый
Выплеснуть ребенка вместе с водой	Эта идиома восходит к немецкой поговорке XVI века, встречающейся в работах Лютера, Кеплера, Гете, Бисмарка, Манна, Грасса.
Выплеснуть ребенка вместе с водой	Выражения «не отскреби тефлон со сковородки» и «не вылей шампанское вместе с пробкой» — альтернативные варианты этой более известной поговорки.
Синдром разбитого сердца	Это более известное название кардиомиопатии такоцубо.
Ловушка для осьминогов	Медицинское название "синдрома разбитого сердца" получило свое имя за схожесть больного сердца с этим приспособлением японских рыбаков.
Голландская болезнь	Это второе название "эффекта Гронингена"
Укрепление реального курса национальной валюты из-за бума в отдельном секторе экономики	Негативное влияние "голландской болезни" заключается именно в этом.
Голландская болезнь	Этот термин журнал the Economist ввел в обиход из-за последствий открытия Гронингенского газового месторождения
Япония	Гимн этой страны, один из самых коротких в мире, написан в форме танка.
Гимн Японии	Кимигайо (His Imperial Majesty's Reign) — это название его.
Ама (нырятельница за жемчугом)	В ответе палиндром. Представительница этой профессии в Японии могла сама выбирать себе мужа.
Женщина моря	Ама, японские ныряльщицы за водорослями, моллюсками и жемчугом, в японском языке записываются этими двумя иероглифами.
Джон Кейдж, автор As SLow aS Possible	Этот американский композитор и приверженец нестандартного использования музыкальных инструментов является автором самого длительного концерта в истории.
As SLow aS Possible	Это произведение Кейджа исполняется на органе в Хальберштадте с 2001 года. Дослушать его можно в 2640-м.
Железный Дровосек	Его англоязычного брата по топору зовут Nick Chopper, или Tin Woodman.
Квертиномика	Так называют изучение "эффекта колеи". Имя дано в честь расположения клавиш на первых печатных машинках.
Эффект колеи	Так называют зависимость настоящего и будущего развития от прошлого опыта. Примеры проявления эффекта: QWERTY-клавиатура, ширина ж/д колеи.
Карманов	Согласно идиоме со значением "на тот свет ничего не возьмешь", в гробу нет именно их.
Грац	"Мистер Олимпия" Арнольд Шварценеггер родился неподалеку от этого австрийского города.
